,,,Dietary Pattern,,,,,,,,,,,,,,,
Pillar,Outcome,Outcome Unit,MED,MED MID,MED LB,MED UB,HUS,HUS MID,HUS LB,HUS UB,VEG,VEG MID,VEG LB,VEG UB,VEGN,VEGN MID,VEGN LB,VEGN UB
,,,Median (95% UI),,,,,,,,,,,,,,,
Health,Cancer,Cases/year," 5443 (4736, 6187) "," 5,443 "," 4,736 "," 6,187 "," 5828 (5135, 6558) "," 5,828 "," 5,135 "," 6,558 "," 8651 (7649, 9698) "," 8,651 "," 7,649 "," 9,698 "," 7575 (6655, 8547) "," 7,575 "," 6,655 "," 8,547 "
,Cardiovascular disease,Deaths/year," 23568 (20485, 26914) "," 23,568 "," 20,485 "," 26,914 "," 20992 (18149, 24067) "," 20,992 "," 18,149 "," 24,067 "," 34413 (30368, 38564) "," 34,413 "," 30,368 "," 38,564 "," 34413 (30368, 38564) "," 34,413 "," 30,368 "," 38,564 "
Economic,Food price,billion USD/year," 42.1 (40.3, 43.9) ",42.1,40.3,43.9," 17 (15.4, 18.8) ",17.0,15.4,18.8," -41.4 (-43, -39.7) ",-41.4,-43.0,-39.7," -59.3 (-60.9, -57.7) ",-59.3,-60.9,-57.7
Environment,Bluewater use,billion L/year," 810.2 (767.2, 854.9) ",810.2,767.2,854.9," 652.9 (605.1, 694.7) ",652.9,605.1,694.7," -85 (-129, -40.6) ",-85.0,-129.0,-40.6," -646.8 (-690.8, -602.3) ",-646.8,-690.8,-602.3
,Cumulative energy demand,billion MJ/year," 102.3 (99.8, 104.7) ",102.3,99.8,104.7," 53.6 (51.4, 56.1) ",53.6,51.4,56.1," -55.5 (-57.7, -53.2) ",-55.5,-57.7,-53.2," -101.8 (-104, -99.5) ",-101.8,-104.0,-99.5
,Greenhouse gas emissions,million MtCO2-eq/year," 3.7 (3.1, 4.2) ",3.7,3.1,4.2," 2.5 (1.9, 3) ",2.5,1.9,3.0," -17.2 (-17.7, -16.7) ",-17.2,-17.7,-16.7," -26 (-26.5, -25.5) ",-26.0,-26.5,-25.5
,Water scarcity,billion L-eq/year," 8012.2 (7751.6, 8279.1) "," 8,012.2 "," 7,751.6 "," 8,279.1 "," 6106.5 (5838.8, 6371.4) "," 6,106.5 "," 5,838.8 "," 6,371.4 "," 3035.4 (2764.5, 3296.7) "," 3,035.4 "," 2,764.5 "," 3,296.7 "," 859.5 (594.9, 1118.6) ", 859.5 , 594.9 ," 1,118.6 "
Social,Forced labor risk,billion mrh-eq/year," 1.9 (1.8, 1.9) ",1.9,1.8,1.9," 1.2 (1.2, 1.3) ",1.2,1.2,1.3," -0.6 (-0.6, -0.5) ",-0.6,-0.6,-0.5," -0.3 (-0.3, -0.2) ",-0.3,-0.3,-0.2
