subgroup,food,mean,SE,pro_gro,gro_mean_intake,gro_se_intake,oth_mean_intake,oth_se_intake,food_label,food_desc
1,gr_refined,5.262778913869653,0.1292746261664298,0.5746620746930159,3.0243194492949916,0.07428922487796458,2.238459464574661,0.054985401288465206,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)
1,gr_whole,0.949471703074514,0.07935161323639968,0.8612942400153109,0.8177745089156064,0.06834508741643375,0.13169719415890757,0.011006525819965937,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)"
1,dairy_tot,1.5123218310669395,0.05208647614898529,0.6431143673123824,0.9725958975593184,0.03349756115408617,0.5397259335076211,0.01858891499489912,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)"
1,dairy_cow,1.510306831769117,0.05204546885459499,0.6425331457644052,0.9704221996860831,0.033440938825926296,0.5398846320830339,0.018604530028668693,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)"
1,dairy_soy,0.00264968872031102,0.0015699112414691,0.9539773850550048,0.002527743116612049,0.0014976598209051483,1.2194560369897103e-4,7.22514205639517e-5,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.)
1,fruit_tot,0.7907658762369673,0.07277475193390807,0.8405331343830817,0.6646649205166422,0.06116959034695899,0.12610095572032506,0.01160516158694908,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.)
1,fruit_exc_juice,0.6526821837336996,0.06120038108150153,0.8597521873111552,0.5611449350840695,0.05261716149909718,0.09153724864963007,0.008583219582404347,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)"
1,fruit_juice,0.136514096003207,0.02395263765980114,0.7501230988505475,0.10240237673070678,0.017967426787014358,0.03411171927250022,0.0059852108727867824,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)"
1,veg_exc_sta,1.197289918880371,0.06594724477844012,0.6482037372591243,0.7760878000009301,0.042747250527327155,0.42120211887944076,0.023199994251112965,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)"
1,veg_dg,0.21006589195989311,0.02177603618208743,0.6893130596881292,0.1448011627229899,0.015010506128554094,0.06526472923690321,0.006765530053533337,Dark-green vegetables,Dark green vegetables (cup eq.)
1,veg_oth,0.572523141776812,0.03789592127259018,0.629670723675308,0.36050106100346613,0.023861952172054356,0.21202208077334583,0.014033969100535823,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.)
1,veg_ro,0.3718464744632423,0.0282747631036818,0.6529636619235023,0.2428022356388628,0.0184623928561996,0.12904423882437951,0.0098123702474822,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"
1,veg_sta,0.4768162550531172,0.04754391714802209,0.6308539545802649,0.3008014201084112,0.029993268149066207,0.176014834944706,0.017550648998955885,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)
1,veg_leg,0.0907429140050909,0.00887785357660248,0.6480265821932268,0.05880382042097295,0.00575308511045762,0.03193909358411794,0.0031247684661448605,"Beans, peas, lentils (vegetables)","Beans, peas, and lentils  (legumes) computed as vegetables (cup eq.)"
1,pf_ns,0.7448886337036561,0.09501221270158117,0.7665106809367823,0.5709650938422589,0.07282787585519938,0.17392353986139725,0.02218433684638179,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
1,pf_soy,0.14946988726283195,0.02914108198695555,0.6687852366984752,0.09996325393236748,0.01948912541429574,0.049506633330464477,0.00965195657265981,Soy foods,"Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)"
