subgroup,diseases,diseases_label,crude_rate,crude_se,population,count,count_se,Age,Age_label,Sex,Sex_label,Race,Race_label
1,ALL,All Invasive Cancer Sites Combined,89.63,1.48,18192633,16306,270,1,20-34,1,Female,1,NHW
2,ALL,All Invasive Cancer Sites Combined,61.14,2.3,4596338,2811,106,1,20-34,1,Female,2,NHB
3,ALL,All Invasive Cancer Sites Combined,68.04,1.64,6549965,4457,108,1,20-34,1,Female,3,HIS
4,ALL,All Invasive Cancer Sites Combined,77.63,2.55,3878604,3011,99,1,20-34,1,Female,4,OTH
5,ALL,All Invasive Cancer Sites Combined,57.96,1.16,19295314,11184,224,1,20-34,2,Male,1,NHW
6,ALL,All Invasive Cancer Sites Combined,31.06,1.63,4186659,1301,69,1,20-34,2,Male,2,NHB
7,ALL,All Invasive Cancer Sites Combined,49.42,1.34,6886181,3404,93,1,20-34,2,Male,3,HIS
8,ALL,All Invasive Cancer Sites Combined,45.12,1.94,3785306,1709,74,1,20-34,2,Male,4,OTH
9,ALL,All Invasive Cancer Sites Combined,265.46,3.17,10789518,28642,343,2,35-44,1,Female,1,NHW
10,ALL,All Invasive Cancer Sites Combined,236.5,5.95,2841551,6721,170,2,35-44,1,Female,2,NHB
11,ALL,All Invasive Cancer Sites Combined,216.43,3.81,4706043,10186,180,2,35-44,1,Female,3,HIS
12,ALL,All Invasive Cancer Sites Combined,259.54,5.54,2705155,7021,150,2,35-44,1,Female,4,OTH
13,ALL,All Invasive Cancer Sites Combined,143.09,2.3,10698668,15309,247,2,35-44,2,Male,1,NHW
14,ALL,All Invasive Cancer Sites Combined,119.05,4.42,2373836,2826,105,2,35-44,2,Male,2,NHB
15,ALL,All Invasive Cancer Sites Combined,85.86,2.34,4477083,3845,105,2,35-44,2,Male,3,HIS
16,ALL,All Invasive Cancer Sites Combined,110.3,3.82,2268050,2502,87,2,35-44,2,Male,4,OTH
17,ALL,All Invasive Cancer Sites Combined,567.84,4.41,12961330,73599,572,3,45-54,1,Female,1,NHW
18,ALL,All Invasive Cancer Sites Combined,483.14,8.55,2294986,11089,197,3,45-54,1,Female,2,NHB
19,ALL,All Invasive Cancer Sites Combined,430.14,5.82,2981376,12825,174,3,45-54,1,Female,3,HIS
20,ALL,All Invasive Cancer Sites Combined,526.23,8.32,1908325,10043,159,3,45-54,1,Female,4,OTH
21,ALL,All Invasive Cancer Sites Combined,414.87,3.76,10622756,44071,400,3,45-54,2,Male,1,NHW
22,ALL,All Invasive Cancer Sites Combined,458.95,8.8,2323392,10664,205,3,45-54,2,Male,2,NHB
23,ALL,All Invasive Cancer Sites Combined,245.36,4.35,3207152,7869,140,3,45-54,2,Male,3,HIS
24,ALL,All Invasive Cancer Sites Combined,310.78,6.83,2807268,8725,192,3,45-54,2,Male,4,OTH
25,ALL,All Invasive Cancer Sites Combined,942.58,5.29,16626401,156717,880,4,55-64,1,Female,1,NHW
26,ALL,All Invasive Cancer Sites Combined,927.39,12.21,3005374,27872,367,4,55-64,1,Female,2,NHB
27,ALL,All Invasive Cancer Sites Combined,738.83,8.94,2911586,21512,261,4,55-64,1,Female,3,HIS
28,ALL,All Invasive Cancer Sites Combined,785.03,10.83,2629488,20643,285,4,55-64,1,Female,4,OTH
29,ALL,All Invasive Cancer Sites Combined,1118.06,5.85,15564860,174024,911,4,55-64,2,Male,1,NHW
30,ALL,All Invasive Cancer Sites Combined,1373.35,16,2050599,28162,329,4,55-64,2,Male,2,NHB
31,ALL,All Invasive Cancer Sites Combined,726.62,9.08,2832735,20584,258,4,55-64,2,Male,3,HIS
32,ALL,All Invasive Cancer Sites Combined,890.98,12.58,2195076,19558,277,4,55-64,2,Male,4,OTH
33,ALL,All Invasive Cancer Sites Combined,1541.05,7.63,11513863,177434,879,5,65-74,1,Female,1,NHW
34,ALL,All Invasive Cancer Sites Combined,1494.27,19.59,1390166,20773,273,5,65-74,1,Female,2,NHB
35,ALL,All Invasive Cancer Sites Combined,1178.1,15.09,1616432,19044,244,5,65-74,1,Female,3,HIS
36,ALL,All Invasive Cancer Sites Combined,1151.07,15.57,1089947,12547,170,5,65-74,1,Female,4,OTH
37,ALL,All Invasive Cancer Sites Combined,2148.86,9.47,10345066,222301,980,5,65-74,2,Male,1,NHW
38,ALL,All Invasive Cancer Sites Combined,2489.93,29.07,1099252,27371,320,5,65-74,2,Male,2,NHB
39,ALL,All Invasive Cancer Sites Combined,1520.36,18.61,1168063,17759,218,5,65-74,2,Male,3,HIS
40,ALL,All Invasive Cancer Sites Combined,1701.58,21.19,989548,16838,210,5,65-74,2,Male,4,OTH
41,ALL,All Invasive Cancer Sites Combined,1940.16,9.44,9145660,177441,864,6,75+,1,Female,1,NHW
42,ALL,All Invasive Cancer Sites Combined,1682.29,25.44,1249362,21018,318,6,75+,1,Female,2,NHB
