subgroup,Age,Sex,Race,diseases,count,crude_se,population,Age_label,Sex_label,Race_label
1,1,1,1,AA,20,4,18192633,20-34,Female,NHW
2,1,1,2,AA,13,4,4596338,20-34,Female,NHB
3,1,1,3,AA,9,2,6549965,20-34,Female,HIS
4,1,1,4,AA,4,1,3878604,20-34,Female,OTH
5,1,2,1,AA,45,6,19295314,20-34,Male,NHW
6,1,2,2,AA,27,5,4186659,20-34,Male,NHB
7,1,2,3,AA,20,5,6886181,20-34,Male,HIS
8,1,2,4,AA,9,1,3785306,20-34,Male,OTH
9,2,1,1,AA,44,8,10789518,35-44,Female,NHW
10,2,1,2,AA,25,6,2841551,35-44,Female,NHB
11,2,1,3,AA,9,2,4706043,35-44,Female,HIS
12,2,1,4,AA,8,1,2705155,35-44,Female,OTH
13,2,2,1,AA,134,12,10698668,35-44,Male,NHW
14,2,2,2,AA,86,10,2373836,35-44,Male,NHB
15,2,2,3,AA,29,6,4477083,35-44,Male,HIS
16,2,2,4,AA,12,4,2268050,35-44,Male,OTH
17,3,1,1,AA,91,10,12961330,45-54,Female,NHW
18,3,1,2,AA,44,7,2294986,45-54,Female,NHB
19,3,1,3,AA,13,4,2981376,45-54,Female,HIS
20,3,1,4,AA,9,1,1908325,45-54,Female,OTH
21,3,2,1,AA,282,18,10622756,45-54,Male,NHW
22,3,2,2,AA,108,11,2323392,45-54,Male,NHB
23,3,2,3,AA,60,8,3207152,45-54,Male,HIS
24,3,2,4,AA,23,5,2807268,45-54,Male,OTH
25,4,1,1,AA,244,16,16626401,55-64,Female,NHW
26,4,1,2,AA,81,9,3005374,55-64,Female,NHB
27,4,1,3,AA,22,5,2911586,55-64,Female,HIS
28,4,1,4,AA,15,4,2629488,55-64,Female,OTH
29,4,2,1,AA,774,28,15564860,55-64,Male,NHW
30,4,2,2,AA,172,14,2050599,55-64,Male,NHB
31,4,2,3,AA,83,10,2832735,55-64,Male,HIS
32,4,2,4,AA,40,7,2195076,55-64,Male,OTH
33,5,1,1,AA,603,25,11513863,65-74,Female,NHW
