disease,subgroup,Sex,Age_label,Race_label,count,se,X1,X2,X3
AA,1,1,20-34,NHW,20,4,15.476008881894911,14.265086658560218,23.01819169362241
AA,2,1,20-34,NHB,13,4,10.940415108959844,10.065426289172873,17.876202651663867
AA,3,1,20-34,HIS,9,2,9.066994497244794,7.441472500878322,8.072632013752331
AA,4,1,20-34,OTH,4,1,3.1308027304247306,3.384616916598538,1.8597495407525724
AA,5,2,20-34,NHW,45,6,37.34203405340823,45.835551249890614,40.138913063968616
AA,6,2,20-34,NHB,27,5,26.805722896927477,30.22035203230161,25.970753020671456
AA,7,2,20-34,HIS,20,5,16.797172355469264,18.591446388190576,18.220850292309006
AA,8,2,20-34,OTH,9,1,8.92263076828175,10.896536362529718,8.200891217444168
AA,9,1,35-44,NHW,44,8,42.94224682195463,57.340698596140044,53.96128556836638
AA,10,1,35-44,NHB,25,6,24.33969790523883,28.245372332723417,22.07271289377018
AA,11,1,35-44,HIS,9,2,5.445987742856243,11.17284827398993,9.828832395145568
AA,12,1,35-44,OTH,8,1,8.058676384685162,6.989148938793648,7.33072747886157
AA,13,2,35-44,NHW,134,12,130.03475181758515,145.75821054552105,128.74785724535232
AA,14,2,35-44,NHB,86,10,77.49887110402773,101.5416276844321,85.53175389876807
AA,15,2,35-44,HIS,29,6,37.61851177419398,26.900176928592593,27.725235700095634
AA,16,2,35-44,OTH,12,4,12.462758049304119,15.544188828849519,18.787955519210886
AA,17,1,45-54,NHW,91,10,108.60641898608414,109.83120891146726,105.50140218937628
AA,18,1,45-54,NHB,44,7,46.61337680230193,42.632657668816144,55.008849425500486
AA,19,1,45-54,HIS,13,4,18.330977633029395,12.179833947311844,5.494571930068279
AA,20,1,45-54,OTH,9,1,9.863649352702593,9.0973082598146,9.075891131718873
AA,21,2,45-54,NHW,282,18,285.3970266152172,297.6169132988555,272.1717084959955
AA,22,2,45-54,NHB,108,11,111.13708739449613,99.23827061002888,108.16834142119319
AA,23,2,45-54,HIS,60,8,74.833112542891,64.03458697515003,64.14309680281569
AA,24,2,45-54,OTH,23,5,26.25669266144814,21.528806122382573,17.381252894664975
AA,25,1,55-64,NHW,244,16,253.23793311773045,263.3502703414191,245.29613605068727
AA,26,1,55-64,NHB,81,9,85.9393002708315,71.50211436697428,84.42979670805687
AA,27,1,55-64,HIS,22,5,22.896104549137274,22.671759481563605,21.71960671902609
AA,28,1,55-64,OTH,15,4,15.671935021551192,14.830033432948154,17.904686861782736
AA,29,2,55-64,NHW,774,28,801.0244259635712,771.4193580089287,780.349537219742
AA,30,2,55-64,NHB,172,14,186.71678791126627,144.6591373997544,183.87228863571804
AA,31,2,55-64,HIS,83,10,92.81013023529535,77.8615735541131,80.29037920052025
AA,32,2,55-64,OTH,40,7,40.724619879864854,28.355018395123306,41.51590444997288
AA,33,1,65-74,NHW,603,25,600.8083766119529,567.8682604327118,603.7048015830845
AA,34,1,65-74,NHB,108,11,117.96438434740148,99.43589183141225,95.5078220140644
AA,35,1,65-74,HIS,32,6,34.47806954418092,40.40580224926872,40.919840999031294
AA,36,1,65-74,OTH,28,6,28.010359445723616,39.09976046141647,17.50814535453819
AA,37,2,65-74,NHW,1143,35,1211.8507988689178,1122.396829675223,1205.0320064377215
AA,38,2,65-74,NHB,125,12,134.99708109902784,132.4921535329872,134.23721671688673
AA,39,2,65-74,HIS,63,8,69.13644598105785,65.42530076751176,58.79440657545797
AA,40,2,65-74,OTH,53,8,56.72513543767645,45.876697404310804,53.066578818130715
AA,41,1,75+,NHW,2333,69,2375.9581065906405,2203.900693730872,2322.5295269538415
AA,42,1,75+,NHB,215,21,235.15514500558524,205.824893428125,212.58173811725916
AA,43,1,75+,HIS,92,14,105.56487864444146,90.3769043943909,93.84933316756243
AA,44,1,75+,OTH,92,14,74.75085870341863,78.98027057803586,77.46713517769153
AA,45,2,75+,NHW,2128,66,2090.2820358199892,2090.6283051736636,2054.7935554425744
AA,46,2,75+,NHB,112,15,114.49340166110909,136.45735919953526,107.53352171619055
AA,47,2,75+,HIS,115,16,110.51430372823529,102.15941366454474,107.58742149929638
AA,48,2,75+,OTH,90,14,92.07276793897353,89.827480898001,108.3754318363595
AFF,1,1,20-34,NHW,0,0,0,0,0
AFF,2,1,20-34,NHB,0,0,0,0,0
AFF,3,1,20-34,HIS,0,0,0,0,0
AFF,4,1,20-34,OTH,0,0,0,0,0
AFF,5,2,20-34,NHW,6,2,5.418595789070045,6.500470711014268,8.20974430080918
AFF,6,2,20-34,NHB,2,1,2.24993957892638,0.8611609524526369,1.141305159320321
AFF,7,2,20-34,HIS,3,1,2.3082530590553056,2.574530038622463,3.6230085203243654
AFF,8,2,20-34,OTH,1,1,1.6564520673641399,1.79510355756668,1.0934052664216478
AFF,9,1,35-44,NHW,12,4,9.779689921798733,11.528394939778345,12.072199758009285
AFF,10,1,35-44,NHB,3,1,3.5403225899646698,3.6659314949095485,3.711896450825325
AFF,11,1,35-44,HIS,4,1,2.4406773882530093,3.7779338941297933,3.5264759701832515
AFF,12,1,35-44,OTH,2,1,1.668513531703241,2.0507553522019775,2.485975804747787
AFF,13,2,35-44,NHW,19,5,19.711664180828123,18.946929218609046,25.15498244017953
AFF,14,2,35-44,NHB,11,4,12.772617767427985,7.260713155894066,13.323251183679742
AFF,15,2,35-44,HIS,8,2,10.939313545466181,6.245844500313841,9.980009635375033
AFF,16,2,35-44,OTH,3,1,2.9455782512571123,4.334772173355337,4.423705374292014
AFF,17,1,45-54,NHW,38,7,36.41425310683474,39.830028792058485,30.767715572338886
AFF,18,1,45-54,NHB,13,4,8.470933014314125,10.87136630956733,13.904943418715916
AFF,19,1,45-54,HIS,9,2,9.819807451906392,7.385239153797436,9.431652384172407
AFF,20,1,45-54,OTH,5,1,4.9222131200522155,4.066111907294612,6.419472280437865
AFF,21,2,45-54,NHW,100,11,112.59377316819015,98.44919924846585,97.0665899498444
AFF,22,2,45-54,NHB,28,6,34.77799968292099,18.72610224082878,23.82861200026294
AFF,23,2,45-54,HIS,12,4,14.352185000558478,12.351533188512077,11.181661365550307
AFF,24,2,45-54,OTH,9,1,8.877561153489253,9.55186871469139,7.241932761045246
AFF,25,1,55-64,NHW,246,16,238.36739708379616,239.05305111675585,239.8676098207313
AFF,26,1,55-64,NHB,54,8,61.02653135710676,55.37820065887723,46.45901165471375
AFF,27,1,55-64,HIS,16,5,11.467946864778936,14.978748444537255,16.053424926169964
AFF,28,1,55-64,OTH,10,4,10.033371706086001,9.567614728686136,12.334116204905085
AFF,29,2,55-64,NHW,518,24,504.60477204686936,535.6653174017331,487.90468329906275
AFF,30,2,55-64,NHB,100,11,101.53455528415768,102.33997653132865,118.7606197809948
AFF,31,2,55-64,HIS,41,7,33.046079064941814,52.57419097773807,45.87525189532502
AFF,32,2,55-64,OTH,19,5,16.31573363472247,20.865532720828636,18.821550856375005
AFF,33,1,65-74,NHW,1043,33,1065.302633652123,1021.9140909871212,1035.3848848858122
AFF,34,1,65-74,NHB,130,12,144.4103357274075,137.70633162667806,147.4429581620447
AFF,35,1,65-74,HIS,60,8,57.56574653875996,68.40604789654186,58.52026483009022
AFF,36,1,65-74,OTH,55,8,49.2745314097205,67.63519394919366,60.999482806386006
AFF,37,2,65-74,NHW,1346,37,1288.3436937327492,1396.765653817157,1332.7416887937661
AFF,38,2,65-74,NHB,179,14,167.0162207430034,177.8698319697531,177.04075136317618
AFF,39,2,65-74,HIS,80,9,75.70517837728632,81.95308603792574,80.86207368937058
AFF,40,2,65-74,OTH,35,6,34.17305512908428,40.53546583150878,28.313894145517196
AFF,41,1,75+,NHW,12141,151,12075.330162868198,12098.268710974524,12215.104251477167
AFF,42,1,75+,NHB,658,37,630.4518481251366,702.6624795343103,658.9864014245243
AFF,43,1,75+,HIS,526,33,497.2492185742179,553.0203398432594,487.0860955439813
AFF,44,1,75+,OTH,302,25,282.57722633092334,309.4391154067692,291.2485403835495
AFF,45,2,75+,NHW,7200,119,7253.228744518736,7024.6693439093615,7150.472554019836
AFF,46,2,75+,NHB,330,26,331.14196177200256,308.28362957443176,331.896927817493
AFF,47,2,75+,HIS,271,24,331.48991803775954,279.4626149042131,288.89480024277714
AFF,48,2,75+,OTH,163,19,141.85140867081068,153.48163992451558,183.90438968256325
ALL,1,1,20-34,NHW,16306,270,16081.347460500563,17118.08649758185,16331.600350134559
ALL,2,1,20-34,NHB,2811,106,2963.6740567627994,2892.8014316769604,2890.6560406666804
ALL,3,1,20-34,HIS,4457,108,4427.426818829673,4320.835162123253,4241.483277972491
ALL,4,1,20-34,OTH,3011,99,3188.7630097983597,2805.7737651108773,2952.495801780982
ALL,5,2,20-34,NHW,11184,224,11148.565334160034,11323.22994049383,11208.7932397153
ALL,6,2,20-34,NHB,1301,69,1401.4182420586412,1319.4239442987264,1346.1618791841015
ALL,7,2,20-34,HIS,3404,93,3402.048436115997,3295.497126124898,3452.8595386933425
ALL,8,2,20-34,OTH,1709,74,1652.9537910115462,1743.4368200190763,1678.3401129796025
ALL,9,1,35-44,NHW,28642,343,28609.88856031758,28633.032082074722,28560.850542213262
ALL,10,1,35-44,NHB,6721,170,6580.9299267602155,6643.285025867203,6616.09735686232
