RaceandoriginrecodeNHWNHBNHOHis,Sex,Age_recode_10yr,esophagus,adenomas,Crude_Rate,Standard_Error,Lower_Confidence_Interval,Upper_Confidence_Interval,Count,Population
Non-Hispanic White,Male and female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.17,0.05,0.08,0.32,10,5800816
Non-Hispanic White,Male and female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.65,0.11,0.46,0.91,35,5344399
Non-Hispanic White,Male and female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,3.35,0.24,2.89,3.85,196,5859292
Non-Hispanic White,Male and female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,8.22,0.35,7.54,8.93,545,6633946
Non-Hispanic White,Male and female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,15.11,0.55,14.06,16.22,763,5048890
Non-Hispanic White,Male and female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,4.94,0.11,4.74,5.15,2201,44535467
Non-Hispanic White,Male,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.27,0.1,0.12,0.53,8,2973485
Non-Hispanic White,Male,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.29,0.22,0.9,1.8,35,2710870
Non-Hispanic White,Male,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,5.82,0.45,4.98,6.76,171,2936612
Non-Hispanic White,Male,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,14.9,0.68,13.6,16.28,486,3262450
Non-Hispanic White,Male,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,28.23,1.08,26.14,30.43,677,2398481
Non-Hispanic White,Male,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,8.62,0.2,8.23,9.01,1902,22070429
Non-Hispanic White,Female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.07,0.05,0.01,0.26,2,2827331
Non-Hispanic White,Female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.14,0,2633529
Non-Hispanic White,Female,45-54 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.86,0.17,0.55,1.26,25,2922680
Non-Hispanic White,Female,55-64 years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.75,0.23,1.33,2.26,59,3371496
Non-Hispanic White,Female,65-74 years,Esophagus,8140-8389: adenomas and adenocarcinomas,3.24,0.35,2.6,4.01,86,2650409
Non-Hispanic White,Female,75+ years,Esophagus,8140-8389: adenomas and adenocarcinomas,1.33,0.08,1.18,1.49,299,22465038
Non-Hispanic Black,Male and female,25-34 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0,,0,0.24,0,1556892
Non-Hispanic Black,Male and female,35-44 years,Esophagus,8140-8389: adenomas and adenocarcinomas,0.23,0.14,0.05,0.69,3,1278752
