year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,0.1390000295
2017,NHB,age_2044,Female,2,0.1509997943
2017,HIS,age_2044,Female,3,0.2189999912
2017,Other,age_2044,Female,4,0.1179999634
2017,NHW,age_2044,Male,5,0.5020000308
2017,NHB,age_2044,Male,6,0.2469999597
2017,HIS,age_2044,Male,7,0.3940000684
2017,Other,age_2044,Male,8,0.407999836
2017,NHW,age_4554,Female,9,0.8310000674
2017,NHB,age_4554,Female,10,0.8120005246
2017,HIS,age_4554,Female,11,0.7479997467
2017,Other,age_4554,Female,12,0.3519994478
2017,NHW,age_4554,Male,13,3.4490001458
2017,NHB,age_4554,Male,14,1.6149996744
2017,HIS,age_4554,Male,15,1.7950002515
2017,Other,age_4554,Male,16,1.9540001807
2017,NHW,age_5564,Female,17,1.6959999247
2017,NHB,age_5564,Female,18,1.8340004239
2017,HIS,age_5564,Female,19,1.6489997007
2017,Other,age_5564,Female,20,1.3770003846
2017,NHW,age_5564,Male,21,9.1259999897
2017,NHB,age_5564,Male,22,4.504000214
2017,HIS,age_5564,Male,23,4.7709997764
2017,Other,age_5564,Male,24,5.6260007123
2017,NHW,age_65+,Female,25,4.3649999708
2017,NHB,age_65+,Female,26,3.5470001614
2017,HIS,age_65+,Female,27,3.4580004007
2017,Other,age_65+,Female,28,3.9259990618
2017,NHW,age_65+,Male,29,19.543000055
2017,NHB,age_65+,Male,30,9.5060001754
2017,HIS,age_65+,Male,31,11.652996921
2017,Other,age_65+,Male,32,12.136001646
2018,NHW,age_2044,Female,1,0.1681448301
2018,NHB,age_2044,Female,2,0.1750792725
2018,HIS,age_2044,Female,3,0.2377730585
2018,Other,age_2044,Female,4,0.127078367
2018,NHW,age_2044,Male,5,0.6188035369
2018,NHB,age_2044,Male,6,0.289149903
2018,HIS,age_2044,Male,7,0.4552582308
2018,Other,age_2044,Male,8,0.4614228512
2018,NHW,age_4554,Female,9,0.9712852253
2018,NHB,age_4554,Female,10,0.9395577139
2018,HIS,age_4554,Female,11,0.8256649697
2018,Other,age_4554,Female,12,0.4497128012
2018,NHW,age_4554,Male,13,4.1005468376
2018,NHB,age_4554,Male,14,1.834411497
2018,HIS,age_4554,Male,15,2.0295044029
2018,Other,age_4554,Male,16,2.244100337
2018,NHW,age_5564,Female,17,1.988860583
2018,NHB,age_5564,Female,18,2.036045653
2018,HIS,age_5564,Female,19,1.7581732032
2018,Other,age_5564,Female,20,1.6027046303
2018,NHW,age_5564,Male,21,10.109385683
2018,NHB,age_5564,Male,22,4.8228047013
2018,HIS,age_5564,Male,23,5.1148523807
2018,Other,age_5564,Male,24,6.3110964775
2018,NHW,age_65+,Female,25,4.4070966244
2018,NHB,age_65+,Female,26,3.553624196
2018,HIS,age_65+,Female,27,3.3108961277
2018,Other,age_65+,Female,28,3.9656524315
2018,NHW,age_65+,Male,29,19.781765757
2018,NHB,age_65+,Male,30,9.3663872398
2018,HIS,age_65+,Male,31,11.369914572
2018,Other,age_65+,Male,32,11.717756912
2019,NHW,age_2044,Female,1,0.1974340545
2019,NHB,age_2044,Female,2,0.1988858827
2019,HIS,age_2044,Female,3,0.256476291
2019,Other,age_2044,Female,4,0.1358267677
2019,NHW,age_2044,Male,5,0.7302889214
2019,NHB,age_2044,Male,6,0.3275324664
2019,HIS,age_2044,Male,7,0.508682509
2019,Other,age_2044,Male,8,0.5104221355
2019,NHW,age_4554,Female,9,1.089258795
2019,NHB,age_4554,Female,10,1.0638007873
2019,HIS,age_4554,Female,11,0.9048328045
2019,Other,age_4554,Female,12,0.5483192924
2019,NHW,age_4554,Male,13,4.7289692957
2019,NHB,age_4554,Male,14,2.0950613723
2019,HIS,age_4554,Male,15,2.2681164358
2019,Other,age_4554,Male,16,2.6036643452
2019,NHW,age_5564,Female,17,2.2656685849
2019,NHB,age_5564,Female,18,2.21042813
2019,HIS,age_5564,Female,19,1.8771140925
2019,Other,age_5564,Female,20,1.8403214353
2019,NHW,age_5564,Male,21,11.1302749
2019,NHB,age_5564,Male,22,5.1975045536
2019,HIS,age_5564,Male,23,5.5636451452
2019,Other,age_5564,Male,24,6.8750592769
2019,NHW,age_65+,Female,25,4.4282968945
2019,NHB,age_65+,Female,26,3.5569422423
2019,HIS,age_65+,Female,27,3.2397058617
2019,Other,age_65+,Female,28,3.9856302654
2019,NHW,age_65+,Male,29,19.902240272
2019,NHB,age_65+,Male,30,9.2973525925
2019,HIS,age_65+,Male,31,11.230960273
2019,Other,age_65+,Male,32,11.514071905
2020,NHW,age_2044,Female,1,0.2290695673
2020,NHB,age_2044,Female,2,0.2239460576
2020,HIS,age_2044,Female,3,0.2755994983
2020,Other,age_2044,Female,4,0.144519158
2020,NHW,age_2044,Male,5,0.8457598608
2020,NHB,age_2044,Male,6,0.3651347945
2020,HIS,age_2044,Male,7,0.5631741264
2020,Other,age_2044,Male,8,0.5566109262
2020,NHW,age_4554,Female,9,1.2040164028
2020,NHB,age_4554,Female,10,1.1935244369
2020,HIS,age_4554,Female,11,0.984627267
2020,Other,age_4554,Female,12,0.6455277797
2020,NHW,age_4554,Male,13,5.335324068
2020,NHB,age_4554,Male,14,2.3596395042
2020,HIS,age_4554,Male,15,2.507209234
2020,Other,age_4554,Male,16,2.9909169938
2020,NHW,age_5564,Female,17,2.5485461776
2020,NHB,age_5564,Female,18,2.387923258
2020,HIS,age_5564,Female,19,1.9969009232
2020,Other,age_5564,Female,20,2.0961268787
2020,NHW,age_5564,Male,21,12.205776107
2020,NHB,age_5564,Male,22,5.6000551709
2020,HIS,age_5564,Male,23,6.0565327738
2020,Other,age_5564,Male,24,7.4191232736
2020,NHW,age_65+,Female,25,4.4495991942
2020,NHB,age_65+,Female,26,3.5602622674
2020,HIS,age_65+,Female,27,3.1700483903
2020,Other,age_65+,Female,28,4.0057076095
2020,NHW,age_65+,Male,29,20.023448236
