year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,2.1169998771
2017,NHB,age_2044,Female,2,1.8469999743
2017,HIS,age_2044,Female,3,1.3129997807
2017,Other,age_2044,Female,4,2.3970005667
2017,NHW,age_2044,Male,5,3.6740000751
2017,NHB,age_2044,Male,6,2.9539998021
2017,HIS,age_2044,Male,7,1.7059997025
2017,Other,age_2044,Male,8,4.8060001857
2017,NHW,age_4554,Female,9,9.1570000245
2017,NHB,age_4554,Female,10,7.8969998688
2017,HIS,age_4554,Female,11,4.4140001374
2017,Other,age_4554,Female,12,7.7599998437
2017,NHW,age_4554,Male,13,29.830000112
2017,NHB,age_4554,Male,14,19.914000537
2017,HIS,age_4554,Male,15,10.887999786
2017,Other,age_4554,Male,16,19.465999167
2017,NHW,age_5564,Female,17,17.243999999
2017,NHB,age_5564,Female,18,13.98600028
2017,HIS,age_5564,Female,19,8.773999859
2017,Other,age_5564,Female,20,12.207999514
2017,NHW,age_5564,Male,21,61.668000021
2017,NHB,age_5564,Male,22,44.078000092
2017,HIS,age_5564,Male,23,27.519999946
2017,Other,age_5564,Male,24,34.369001291
2017,NHW,age_65+,Female,25,26.404000063
2017,NHB,age_65+,Female,26,16.089000469
2017,HIS,age_65+,Female,27,17.391999835
2017,Other,age_65+,Female,28,19.750004008
2017,NHW,age_65+,Male,29,70.136999972
2017,NHB,age_65+,Male,30,49.02199956
2017,HIS,age_65+,Male,31,44.133001744
2017,Other,age_65+,Male,32,41.841001068
2018,NHW,age_2044,Female,1,2.4180227149
2018,NHB,age_2044,Female,2,2.0052294812
2018,HIS,age_2044,Female,3,1.4323958078
2018,Other,age_2044,Female,4,2.5801994489
2018,NHW,age_2044,Male,5,4.6511377243
2018,NHB,age_2044,Male,6,3.359288428
2018,HIS,age_2044,Male,7,1.9653816352
2018,Other,age_2044,Male,8,5.377040221
2018,NHW,age_4554,Female,9,10.362853952
2018,NHB,age_4554,Female,10,8.3846032656
2018,HIS,age_4554,Female,11,4.8400793895
2018,Other,age_4554,Female,12,8.2711513575
2018,NHW,age_4554,Male,13,34.229663147
2018,NHB,age_4554,Male,14,20.875424295
2018,HIS,age_4554,Male,15,11.881623241
2018,Other,age_4554,Male,16,21.214576287
2018,NHW,age_5564,Female,17,18.510504801
2018,NHB,age_5564,Female,18,14.475085202
2018,HIS,age_5564,Female,19,9.5743649353
2018,Other,age_5564,Female,20,12.979469107
2018,NHW,age_5564,Male,21,65.102838292
2018,NHB,age_5564,Male,22,42.45518734
2018,HIS,age_5564,Male,23,28.329555835
2018,Other,age_5564,Male,24,36.220254438
2018,NHW,age_65+,Female,25,26.513581754
2018,NHB,age_65+,Female,26,15.884145774
2018,HIS,age_65+,Female,27,17.311329382
2018,Other,age_65+,Female,28,19.640980846
2018,NHW,age_65+,Male,29,71.981487232
2018,NHB,age_65+,Male,30,48.176536318
2018,HIS,age_65+,Male,31,43.727834284
2018,Other,age_65+,Male,32,42.445011949
2019,NHW,age_2044,Female,1,2.7085957843
2019,NHB,age_2044,Female,2,2.1767477366
2019,HIS,age_2044,Female,3,1.5479024342
2019,Other,age_2044,Female,4,2.7746474278
2019,NHW,age_2044,Male,5,5.6373793469
2019,NHB,age_2044,Male,6,3.7603822873
2019,HIS,age_2044,Male,7,2.2314004738
2019,Other,age_2044,Male,8,5.9266783061
2019,NHW,age_4554,Female,9,11.433972679
2019,NHB,age_4554,Female,10,9.0316981329
2019,HIS,age_4554,Female,11,5.2792680075
2019,Other,age_4554,Female,12,8.7506505527
2019,NHW,age_4554,Male,13,38.485290711
2019,NHB,age_4554,Male,14,22.533590167
2019,HIS,age_4554,Male,15,13.171790621
2019,Other,age_4554,Male,16,22.948705983
2019,NHW,age_5564,Female,17,19.546673101
2019,NHB,age_5564,Female,18,14.746199562
2019,HIS,age_5564,Female,19,10.325480587
2019,Other,age_5564,Female,20,13.685744241
2019,NHW,age_5564,Male,21,67.139672218
2019,NHB,age_5564,Male,22,42.057158233
2019,HIS,age_5564,Male,23,29.438328411
2019,Other,age_5564,Male,24,37.414715975
2019,NHW,age_65+,Female,25,26.568543055
2019,NHB,age_65+,Female,26,15.782697907
2019,HIS,age_65+,Female,27,17.271133945
