year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,4.4399999946
2017,NHB,age_2044,Female,2,3.5129998971
2017,HIS,age_2044,Female,3,4.2439998797
2017,Other,age_2044,Female,4,4.9959997968
2017,NHW,age_2044,Male,5,0
2017,NHB,age_2044,Male,6,0
2017,HIS,age_2044,Male,7,0
2017,Other,age_2044,Male,8,0
2017,NHW,age_4554,Female,9,16.322999943
2017,NHB,age_4554,Female,10,11.728999711
2017,HIS,age_4554,Female,11,14.380999822
2017,Other,age_4554,Female,12,18.417000141
2017,NHW,age_4554,Male,13,0
2017,NHB,age_4554,Male,14,0
2017,HIS,age_4554,Male,15,0
2017,Other,age_4554,Male,16,0
2017,NHW,age_5564,Female,17,25.492999944
2017,NHB,age_5564,Female,18,20.021999833
2017,HIS,age_5564,Female,19,22.767000107
2017,Other,age_5564,Female,20,22.721001138
2017,NHW,age_5564,Male,21,0
2017,NHB,age_5564,Male,22,0
2017,HIS,age_5564,Male,23,0
2017,Other,age_5564,Male,24,0
2017,NHW,age_65+,Female,25,38.949000165
2017,NHB,age_65+,Female,26,31.270999604
2017,HIS,age_65+,Female,27,32.350999517
2017,Other,age_65+,Female,28,25.754999578
2017,NHW,age_65+,Male,29,0
2017,NHB,age_65+,Male,30,0
2017,HIS,age_65+,Male,31,0
2017,Other,age_65+,Male,32,0
2018,NHW,age_2044,Female,1,4.8059301686
2018,NHB,age_2044,Female,2,3.8071525953
2018,HIS,age_2044,Female,3,4.5923644259
2018,Other,age_2044,Female,4,5.5659320802
2018,NHW,age_2044,Male,5,0
2018,NHB,age_2044,Male,6,0
2018,HIS,age_2044,Male,7,0
2018,Other,age_2044,Male,8,0
2018,NHW,age_4554,Female,9,16.695861416
2018,NHB,age_4554,Female,10,12.419923426
2018,HIS,age_4554,Female,11,14.825618429
2018,Other,age_4554,Female,12,19.036753664
2018,NHW,age_4554,Male,13,0
2018,NHB,age_4554,Male,14,0
2018,HIS,age_4554,Male,15,0
2018,Other,age_4554,Male,16,0
2018,NHW,age_5564,Female,17,25.412082978
2018,NHB,age_5564,Female,18,20.475056268
2018,HIS,age_5564,Female,19,22.827975201
2018,Other,age_5564,Female,20,22.73728515
2018,NHW,age_5564,Male,21,0
2018,NHB,age_5564,Male,22,0
2018,HIS,age_5564,Male,23,0
2018,Other,age_5564,Male,24,0
2018,NHW,age_65+,Female,25,37.322134337
2018,NHB,age_65+,Female,26,30.192084144
2018,HIS,age_65+,Female,27,30.888255592
2018,Other,age_65+,Female,28,24.878782918
2018,NHW,age_65+,Male,29,0
2018,NHB,age_65+,Male,30,0
2018,HIS,age_65+,Male,31,0
2018,Other,age_65+,Male,32,0
2019,NHW,age_2044,Female,1,5.1736419129
2019,NHB,age_2044,Female,2,4.0817821611
2019,HIS,age_2044,Female,3,4.9312697715
2019,Other,age_2044,Female,4,6.1043029532
2019,NHW,age_2044,Male,5,0
2019,NHB,age_2044,Male,6,0
2019,HIS,age_2044,Male,7,0
2019,Other,age_2044,Male,8,0
2019,NHW,age_4554,Female,9,17.269494669
2019,NHB,age_4554,Female,10,13.150345598
2019,HIS,age_4554,Female,11,15.405033568
2019,Other,age_4554,Female,12,19.493241103
2019,NHW,age_4554,Male,13,0
2019,NHB,age_4554,Male,14,0
2019,HIS,age_4554,Male,15,0
2019,Other,age_4554,Male,16,0
2019,NHW,age_5564,Female,17,26.007817318
2019,NHB,age_5564,Female,18,21.147977439
2019,HIS,age_5564,Female,19,23.183890522
2019,Other,age_5564,Female,20,22.796669293
2019,NHW,age_5564,Male,21,0
2019,NHB,age_5564,Male,22,0
2019,HIS,age_5564,Male,23,0
2019,Other,age_5564,Male,24,0
2019,NHW,age_65+,Female,25,36.534363941
2019,NHB,age_65+,Female,26,29.666665341
2019,HIS,age_65+,Female,27,30.181876051
2019,Other,age_65+,Female,28,24.451917484
2019,NHW,age_65+,Male,29,0
2019,NHB,age_65+,Male,30,0
2019,HIS,age_65+,Male,31,0
2019,Other,age_65+,Male,32,0
2020,NHW,age_2044,Female,1,5.533430282
2020,NHB,age_2044,Female,2,4.3587640455
2020,HIS,age_2044,Female,3,5.2687671882
2020,Other,age_2044,Female,4,6.6474961191
2020,NHW,age_2044,Male,5,0
2020,NHB,age_2044,Male,6,0
2020,HIS,age_2044,Male,7,0
2020,Other,age_2044,Male,8,0
2020,NHW,age_4554,Female,9,17.741376607
2020,NHB,age_4554,Female,10,13.853576808
2020,HIS,age_4554,Female,11,15.977994724
2020,Other,age_4554,Female,12,19.903359842
2020,NHW,age_4554,Male,13,0
2020,NHB,age_4554,Male,14,0
2020,HIS,age_4554,Male,15,0
2020,Other,age_4554,Male,16,0
2020,NHW,age_5564,Female,17,26.61857989
2020,NHB,age_5564,Female,18,21.818959272
2020,HIS,age_5564,Female,19,23.533016631
2020,Other,age_5564,Female,20,22.807354593
2020,NHW,age_5564,Male,21,0
2020,NHB,age_5564,Male,22,0
2020,HIS,age_5564,Male,23,0
2020,Other,age_5564,Male,24,0
2020,NHW,age_65+,Female,25,35.763221433
2020,NHB,age_65+,Female,26,29.150391393
2020,HIS,age_65+,Female,27,29.491649584
2020,Other,age_65+,Female,28,24.032374787
2020,NHW,age_65+,Male,29,0
2020,NHB,age_65+,Male,30,0
2020,HIS,age_65+,Male,31,0
2020,Other,age_65+,Male,32,0
2021,NHW,age_2044,Female,1,5.8603101142
2021,NHB,age_2044,Female,2,4.6220429648
2021,HIS,age_2044,Female,3,5.591277029
2021,Other,age_2044,Female,4,7.1764591494
2021,NHW,age_2044,Male,5,0
2021,NHB,age_2044,Male,6,0
2021,HIS,age_2044,Male,7,0
2021,Other,age_2044,Male,8,0
2021,NHW,age_4554,Female,9,18.09330833
2021,NHB,age_4554,Female,10,14.491917611
2021,HIS,age_4554,Female,11,16.51582982
2021,Other,age_4554,Female,12,20.265812258
2021,NHW,age_4554,Male,13,0
2021,NHB,age_4554,Male,14,0
2021,HIS,age_4554,Male,15,0
2021,Other,age_4554,Male,16,0
2021,NHW,age_5564,Female,17,27.214411048
2021,NHB,age_5564,Female,18,22.461715813
2021,HIS,age_5564,Female,19,23.841066929
2021,Other,age_5564,Female,20,22.758753895
2021,NHW,age_5564,Male,21,0
2021,NHB,age_5564,Male,22,0
2021,HIS,age_5564,Male,23,0
2021,Other,age_5564,Male,24,0
2021,NHW,age_65+,Female,25,35.008355508
2021,NHB,age_65+,Female,26,28.643101412
2021,HIS,age_65+,Female,27,28.817208464
2021,Other,age_65+,Female,28,23.620030475
2021,NHW,age_65+,Male,29,0
2021,NHB,age_65+,Male,30,0
2021,HIS,age_65+,Male,31,0
2021,Other,age_65+,Male,32,0
2022,NHW,age_2044,Female,1,6.1838405888
2022,NHB,age_2044,Female,2,4.8912080039
2022,HIS,age_2044,Female,3,5.9071862647
2022,Other,age_2044,Female,4,7.7121166512
2022,NHW,age_2044,Male,5,0
2022,NHB,age_2044,Male,6,0
2022,HIS,age_2044,Male,7,0
2022,Other,age_2044,Male,8,0
2022,NHW,age_4554,Female,9,18.376318925
2022,NHB,age_4554,Female,10,15.07881206
2022,HIS,age_4554,Female,11,17.035229717
2022,Other,age_4554,Female,12,20.585572261
2022,NHW,age_4554,Male,13,0
2022,NHB,age_4554,Male,14,0
2022,HIS,age_4554,Male,15,0
2022,Other,age_4554,Male,16,0
2022,NHW,age_5564,Female,17,27.837122696
2022,NHB,age_5564,Female,18,23.093337205
2022,HIS,age_5564,Female,19,24.120362873
2022,Other,age_5564,Female,20,22.653438356
2022,NHW,age_5564,Male,21,0
2022,NHB,age_5564,Male,22,0
2022,HIS,age_5564,Male,23,0
2022,Other,age_5564,Male,24,0
2022,NHW,age_65+,Female,25,34.269422704
2022,NHB,age_65+,Female,26,28.144638389
2022,HIS,age_65+,Female,27,28.158192048
2022,Other,age_65+,Female,28,23.214761628
2022,NHW,age_65+,Male,29,0
2022,NHB,age_65+,Male,30,0
2022,HIS,age_65+,Male,31,0
2022,Other,age_65+,Male,32,0
2023,NHW,age_2044,Female,1,6.4947897968
2023,NHB,age_2044,Female,2,5.1575161231
2023,HIS,age_2044,Female,3,6.2125618591
2023,Other,age_2044,Female,4,8.2509257666
2023,NHW,age_2044,Male,5,0
2023,NHB,age_2044,Male,6,0
2023,HIS,age_2044,Male,7,0
2023,Other,age_2044,Male,8,0
2023,NHW,age_4554,Female,9,18.595638125
2023,NHB,age_4554,Female,10,15.641315777
2023,HIS,age_4554,Female,11,17.550756326
2023,Other,age_4554,Female,12,20.882463478
2023,NHW,age_4554,Male,13,0
2023,NHB,age_4554,Male,14,0
2023,HIS,age_4554,Male,15,0
2023,Other,age_4554,Male,16,0
2023,NHW,age_5564,Female,17,28.451536307
2023,NHB,age_5564,Female,18,23.678285852
2023,HIS,age_5564,Female,19,24.362852098
2023,Other,age_5564,Female,20,22.493754475
2023,NHW,age_5564,Male,21,0
2023,NHB,age_5564,Male,22,0
2023,HIS,age_5564,Male,23,0
2023,Other,age_5564,Male,24,0
2023,NHW,age_65+,Female,25,33.546087149
2023,NHB,age_65+,Female,26,27.654851788
2023,HIS,age_65+,Female,27,27.514243651
2023,Other,age_65+,Female,28,22.816446022
2023,NHW,age_65+,Male,29,0
2023,NHB,age_65+,Male,30,0
2023,HIS,age_65+,Male,31,0
2023,Other,age_65+,Male,32,0
2024,NHW,age_2044,Female,1,6.7967203454
2024,NHB,age_2044,Female,2,5.4288040665
2024,HIS,age_2044,Female,3,6.5086602845
2024,Other,age_2044,Female,4,8.8096339341
2024,NHW,age_2044,Male,5,0
2024,NHB,age_2044,Male,6,0
2024,HIS,age_2044,Male,7,0
2024,Other,age_2044,Male,8,0
2024,NHW,age_4554,Female,9,18.784065453
2024,NHB,age_4554,Female,10,16.175969767
2024,HIS,age_4554,Female,11,18.054477012
2024,Other,age_4554,Female,12,21.146261296
2024,NHW,age_4554,Male,13,0
2024,NHB,age_4554,Male,14,0
2024,HIS,age_4554,Male,15,0
2024,Other,age_4554,Male,16,0
2024,NHW,age_5564,Female,17,29.045194656
2024,NHB,age_5564,Female,18,24.247162916
2024,HIS,age_5564,Female,19,24.581122989
2024,Other,age_5564,Female,20,22.27754005
2024,NHW,age_5564,Male,21,0
2024,NHB,age_5564,Male,22,0
2024,HIS,age_5564,Male,23,0
2024,Other,age_5564,Male,24,0
2024,NHW,age_65+,Female,25,32.838019255
2024,NHB,age_65+,Female,26,27.17358648
2024,HIS,age_65+,Female,27,26.885023038
2024,Other,age_65+,Female,28,22.424966334
2024,NHW,age_65+,Male,29,0
2024,NHB,age_65+,Male,30,0
2024,HIS,age_65+,Male,31,0
2024,Other,age_65+,Male,32,0
2025,NHW,age_2044,Female,1,7.1045991779
2025,NHB,age_2044,Female,2,5.7134122408
2025,HIS,age_2044,Female,3,6.8167500112
2025,Other,age_2044,Female,4,9.4015537318
2025,NHW,age_2044,Male,5,0
2025,NHB,age_2044,Male,6,0
2025,HIS,age_2044,Male,7,0
2025,Other,age_2044,Male,8,0
2025,NHW,age_4554,Female,9,18.95507489
2025,NHB,age_4554,Female,10,16.73972975
2025,HIS,age_4554,Female,11,18.575773053
2025,Other,age_4554,Female,12,21.379032504
2025,NHW,age_4554,Male,13,0
2025,NHB,age_4554,Male,14,0
2025,HIS,age_4554,Male,15,0
2025,Other,age_4554,Male,16,0
2025,NHW,age_5564,Female,17,29.649721187
2025,NHB,age_5564,Female,18,24.811644606
2025,HIS,age_5564,Female,19,24.797270603
2025,Other,age_5564,Female,20,22.006447605
2025,NHW,age_5564,Male,21,0
2025,NHB,age_5564,Male,22,0
2025,HIS,age_5564,Male,23,0
2025,Other,age_5564,Male,24,0
2025,NHW,age_65+,Female,25,32.144896343
2025,NHB,age_65+,Female,26,26.700699688
2025,HIS,age_65+,Female,27,26.270195141
2025,Other,age_65+,Female,28,22.040202015
2025,NHW,age_65+,Male,29,0
2025,NHB,age_65+,Male,30,0
2025,HIS,age_65+,Male,31,0
2025,Other,age_65+,Male,32,0
2026,NHW,age_2044,Female,1,7.3929483106
2026,NHB,age_2044,Female,2,5.9823115833
2026,HIS,age_2044,Female,3,7.109645767
2026,Other,age_2044,Female,4,9.9955862668
2026,NHW,age_2044,Male,5,0
2026,NHB,age_2044,Male,6,0
2026,HIS,age_2044,Male,7,0
2026,Other,age_2044,Male,8,0
2026,NHW,age_4554,Female,9,19.072329087
2026,NHB,age_4554,Female,10,17.287254331
2026,HIS,age_4554,Female,11,19.079463367
2026,Other,age_4554,Female,12,21.563750986
2026,NHW,age_4554,Male,13,0
2026,NHB,age_4554,Male,14,0
2026,HIS,age_4554,Male,15,0
2026,Other,age_4554,Male,16,0
2026,NHW,age_5564,Female,17,30.244421241
2026,NHB,age_5564,Female,18,25.316195017
2026,HIS,age_5564,Female,19,24.957063869
2026,Other,age_5564,Female,20,21.676774669
2026,NHW,age_5564,Male,21,0
2026,NHB,age_5564,Male,22,0
2026,HIS,age_5564,Male,23,0
2026,Other,age_5564,Male,24,0
2026,NHW,age_65+,Female,25,31.466403732
2026,NHB,age_65+,Female,26,26.23604054
2026,HIS,age_65+,Female,27,25.669425612
2026,Other,age_65+,Female,28,21.662039987
2026,NHW,age_65+,Male,29,0
2026,NHB,age_65+,Male,30,0
2026,HIS,age_65+,Male,31,0
2026,Other,age_65+,Male,32,0
2027,NHW,age_2044,Female,1,7.6685902815
2027,NHB,age_2044,Female,2,6.2485090233
2027,HIS,age_2044,Female,3,7.3987429984
2027,Other,age_2044,Female,4,10.615783927
2027,NHW,age_2044,Male,5,0
2027,NHB,age_2044,Male,6,0
2027,HIS,age_2044,Male,7,0
2027,Other,age_2044,Male,8,0
