year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,29.177
2017,NHB,age_2044,Female,2,13.5789999
2017,HIS,age_2044,Female,3,22.66099988
2017,Other,age_2044,Female,4,27.727999868
2017,NHW,age_2044,Male,5,7.3040000584
2017,NHB,age_2044,Male,6,2.3850002739
2017,HIS,age_2044,Male,7,4.1400000493
2017,Other,age_2044,Male,8,7.2139997748
2017,NHW,age_4554,Female,9,38.3139999
2017,NHB,age_4554,Female,10,24.183000275
2017,HIS,age_4554,Female,11,37.227000051
2017,Other,age_4554,Female,12,41.186001033
2017,NHW,age_4554,Male,13,13.052000045
2017,NHB,age_4554,Male,14,6.0150004884
2017,HIS,age_4554,Male,15,8.5789996914
2017,Other,age_4554,Male,16,12.471999402
2017,NHW,age_5564,Female,17,34.287999985
2017,NHB,age_5564,Female,18,26.88400008
2017,HIS,age_5564,Female,19,37.927000293
2017,Other,age_5564,Female,20,39.875000195
2017,NHW,age_5564,Male,21,16.123999993
2017,NHB,age_5564,Male,22,8.7780003645
2017,HIS,age_5564,Male,23,11.665999444
2017,Other,age_5564,Male,24,14.798000801
2017,NHW,age_65+,Female,25,25.112999805
2017,NHB,age_65+,Female,26,22.841999575
2017,HIS,age_65+,Female,27,30.231000906
2017,Other,age_65+,Female,28,28.83700026
2017,NHW,age_65+,Male,29,17.41799992
2017,NHB,age_65+,Male,30,10.761001404
2017,HIS,age_65+,Male,31,14.955001037
2017,Other,age_65+,Male,32,15.760000255
2018,NHW,age_2044,Female,1,31.839115754
2018,NHB,age_2044,Female,2,15.050461207
2018,HIS,age_2044,Female,3,25.15405333
2018,Other,age_2044,Female,4,30.649081045
2018,NHW,age_2044,Male,5,8.2652871324
2018,NHB,age_2044,Male,6,2.6841731254
2018,HIS,age_2044,Male,7,4.7231736528
2018,Other,age_2044,Male,8,8.3194335263
2018,NHW,age_4554,Female,9,41.020036264
2018,NHB,age_4554,Female,10,26.501900302
2018,HIS,age_4554,Female,11,40.911865038
2018,Other,age_4554,Female,12,44.883142678
2018,NHW,age_4554,Male,13,14.573702251
2018,NHB,age_4554,Male,14,6.7737649427
2018,HIS,age_4554,Male,15,9.5941537736
2018,Other,age_4554,Male,16,14.436666521
2018,NHW,age_5564,Female,17,36.403973185
2018,NHB,age_5564,Female,18,28.791405261
2018,HIS,age_5564,Female,19,40.712950581
2018,Other,age_5564,Female,20,42.945392507
2018,NHW,age_5564,Male,21,17.481078903
2018,NHB,age_5564,Male,22,9.4604259724
2018,HIS,age_5564,Male,23,12.683733898
2018,Other,age_5564,Male,24,16.097993586
2018,NHW,age_65+,Female,25,27.043135573
2018,NHB,age_65+,Female,26,25.053210942
2018,HIS,age_65+,Female,27,32.13084943
2018,Other,age_65+,Female,28,30.428796381
2018,NHW,age_65+,Male,29,18.84241961
2018,NHB,age_65+,Male,30,11.574215432
2018,HIS,age_65+,Male,31,15.765844368
2018,Other,age_65+,Male,32,16.67388606
2019,NHW,age_2044,Female,1,33.450011468
2019,NHB,age_2044,Female,2,16.041278232
2019,HIS,age_2044,Female,3,26.813174611
2019,Other,age_2044,Female,4,32.509400261
2019,NHW,age_2044,Male,5,8.8991067881
2019,NHB,age_2044,Male,6,2.9081258005
2019,HIS,age_2044,Male,7,5.1230052982
2019,Other,age_2044,Male,8,9.0551219874
2019,NHW,age_4554,Female,9,42.238102764
2019,NHB,age_4554,Female,10,27.900326331
2019,HIS,age_4554,Female,11,42.899951372
2019,Other,age_4554,Female,12,46.874463044
2019,NHW,age_4554,Male,13,15.544132016
2019,NHB,age_4554,Male,14,7.3129724474
2019,HIS,age_4554,Male,15,10.273992797
2019,Other,age_4554,Male,16,15.535398991
2019,NHW,age_5564,Female,17,36.942962806
2019,NHB,age_5564,Female,18,29.621977368
2019,HIS,age_5564,Female,19,41.675640529
2019,Other,age_5564,Female,20,43.74515782
2019,NHW,age_5564,Male,21,18.285775038
2019,NHB,age_5564,Male,22,9.94217467
2019,HIS,age_5564,Male,23,13.35446404
2019,Other,age_5564,Male,24,16.783717808
