cause,Deaths,age,gender,race
AA,12,1,1,1
AFF,,1,1,1
CM,14072,1,1,1
DM,169,1,1,1
ENDO,67,1,1,1
END,56,1,1,1
HSTK,32,1,1,1
IHD,142,1,1,1
ISTK,32,1,1,1
OSTK,15,1,1,1
TSTK,,1,1,1
OTH,139,1,1,1
PVD,,1,1,1
RHD,39,1,1,1
AA,,1,1,2
AFF,,1,1,2
CM,4775,1,1,2
DM,109,1,1,2
ENDO,,1,1,2
END,77,1,1,2
HSTK,20,1,1,2
IHD,73,1,1,2
ISTK,,1,1,2
OSTK,,1,1,2
TSTK,,1,1,2
OTH,46,1,1,2
PVD,,1,1,2
RHD,,1,1,2
AA,,1,1,3
AFF,,1,1,3
CM,3071,1,1,3
DM,30,1,1,3
ENDO,,1,1,3
END,,1,1,3
HSTK,15,1,1,3
IHD,16,1,1,3
ISTK,,1,1,3
OSTK,,1,1,3
TSTK,,1,1,3
OTH,30,1,1,3
PVD,,1,1,3
RHD,,1,1,3
AA,,1,1,4
AFF,,1,1,4
CM,1145,1,1,4
DM,,1,1,4
ENDO,,1,1,4
END,,1,1,4
HSTK,,1,1,4
IHD,,1,1,4
ISTK,,1,1,4
OSTK,,1,1,4
TSTK,10,1,1,4
OTH,10,1,1,4
RHD,,1,1,4
AA,38,1,2,1
AFF,,1,2,1
CM,31521,1,2,1
DM,263,1,2,1
ENDO,59,1,2,1
END,179,1,2,1
HSTK,66,1,2,1
IHD,391,1,2,1
ISTK,20,1,2,1
OSTK,14,1,2,1
TSTK,,1,2,1
OTH,314,1,2,1
PVD,,1,2,1
RHD,17,1,2,1
AA,21,1,2,2
AFF,,1,2,2
CM,12084,1,2,2
DM,148,1,2,2
ENDO,,1,2,2
END,154,1,2,2
HSTK,31,1,2,2
IHD,190,1,2,2
ISTK,13,1,2,2
OSTK,,1,2,2
TSTK,,1,2,2
OTH,119,1,2,2
PVD,,1,2,2
RHD,,1,2,2
AA,,1,2,3
AFF,,1,2,3
CM,9247,1,2,3
DM,59,1,2,3
ENDO,,1,2,3
END,50,1,2,3
HSTK,38,1,2,3
IHD,124,1,2,3
ISTK,,1,2,3
OSTK,,1,2,3
TSTK,,1,2,3
OTH,91,1,2,3
PVD,,1,2,3
RHD,,1,2,3
AA,,1,2,4
AFF,,1,2,4
CM,2505,1,2,4
DM,,1,2,4
ENDO,,1,2,4
END,18,1,2,4
HSTK,,1,2,4
IHD,39,1,2,4
ISTK,,1,2,4
OSTK,,1,2,4
TSTK,,1,2,4
OTH,23,1,2,4
RHD,,1,2,4
AA,44,2,1,1
AFF,12,2,1,1
CM,144,2,1,1
DM,389,2,1,1
ENDO,50,2,1,1
END,232,2,1,1
HSTK,148,2,1,1
IHD,697,2,1,1
ISTK,59,2,1,1
OSTK,90,2,1,1
TSTK,378,2,1,1
OTH,253,2,1,1
PVD,12,2,1,1
RHD,33,2,1,1
AA,25,2,1,2
AFF,3,2,1,2
CM,109,2,1,2
DM,241,2,1,2
ENDO,10,2,1,2
END,224,2,1,2
HSTK,78,2,1,2
IHD,303,2,1,2
ISTK,33,2,1,2
OSTK,46,2,1,2
TSTK,204,2,1,2
OTH,139,2,1,2
PVD,4,2,1,2
RHD,15,2,1,2
AA,5,2,1,3
AFF,1,2,1,3
CM,32,2,1,3
DM,75,2,1,3
ENDO,4,2,1,3
END,46,2,1,3
HSTK,57,2,1,3
IHD,96,2,1,3
ISTK,16,2,1,3
OSTK,18,2,1,3
TSTK,110,2,1,3
OTH,46,2,1,3
PVD,2,2,1,3
RHD,2,2,1,3
AA,6,2,1,4
AFF,0,2,1,4
CM,20,2,1,4
DM,41,2,1,4
ENDO,1,2,1,4
END,17,2,1,4
HSTK,22,2,1,4
IHD,38,2,1,4
ISTK,5,2,1,4
OSTK,5,2,1,4
TSTK,48,2,1,4
OTH,9,2,1,4
PVD,1,2,1,4
RHD,3,2,1,4
AA,134,2,2,1
AFF,19,2,2,1
CM,324,2,2,1
DM,636,2,2,1
ENDO,66,2,2,1
END,582,2,2,1
HSTK,145,2,2,1
IHD,2018,2,2,1
ISTK,85,2,2,1
OSTK,81,2,2,1
TSTK,407,2,2,1
OTH,258,2,2,1
PVD,9,2,2,1
RHD,23,2,2,1
AA,86,2,2,2
AFF,11,2,2,2
CM,237,2,2,2
DM,381,2,2,2
ENDO,13,2,2,2
END,423,2,2,2
HSTK,75,2,2,2
IHD,731,2,2,2
ISTK,60,2,2,2
OSTK,62,2,2,2
TSTK,272,2,2,2
OTH,137,2,2,2
PVD,4,2,2,2
RHD,5,2,2,2
AA,29,2,2,3
AFF,4,2,2,3
CM,88,2,2,3
DM,192,2,2,3
ENDO,16,2,2,3
END,165,2,2,3
HSTK,74,2,2,3
IHD,399,2,2,3
ISTK,35,2,2,3
OSTK,26,2,2,3
TSTK,205,2,2,3
OTH,75,2,2,3
PVD,1,2,2,3
RHD,8,2,2,3
AA,12,2,2,4
AFF,1,2,2,4
CM,47,2,2,4
DM,81,2,2,4
ENDO,2,2,2,4
END,53,2,2,4
HSTK,30,2,2,4
IHD,192,2,2,4
ISTK,4,2,2,4
OSTK,13,2,2,4
TSTK,73,2,2,4
OTH,38,2,2,4
PVD,0,2,2,4
RHD,2,2,2,4
AA,91,3,1,1
AFF,38,3,1,1
CM,310,3,1,1
DM,1108,3,1,1
ENDO,44,3,1,1
END,685,3,1,1
HSTK,406,3,1,1
IHD,3079,3,1,1
ISTK,218,3,1,1
OSTK,315,3,1,1
TSTK,1178,3,1,1
OTH,499,3,1,1
PVD,51,3,1,1
RHD,44,3,1,1
AA,44,3,1,2
AFF,13,3,1,2
CM,164,3,1,2
DM,606,3,1,2
ENDO,12,3,1,2
END,504,3,1,2
HSTK,174,3,1,2
IHD,1129,3,1,2
ISTK,100,3,1,2
OSTK,174,3,1,2
TSTK,586,3,1,2
OTH,244,3,1,2
PVD,20,3,1,2
RHD,22,3,1,2
AA,13,3,1,3
AFF,4,3,1,3
CM,45,3,1,3
DM,281,3,1,3
ENDO,6,3,1,3
END,91,3,1,3
HSTK,115,3,1,3
IHD,374,3,1,3
ISTK,38,3,1,3
OSTK,61,3,1,3
TSTK,275,3,1,3
OTH,77,3,1,3
PVD,8,3,1,3
RHD,8,3,1,3
AA,4,3,1,4
AFF,1,3,1,4
CM,16,3,1,4
DM,99,3,1,4
ENDO,2,3,1,4
END,37,3,1,4
HSTK,60,3,1,4
IHD,125,3,1,4
ISTK,20,3,1,4
OSTK,29,3,1,4
TSTK,139,3,1,4
OTH,31,3,1,4
PVD,1,3,1,4
RHD,8,3,1,4
AA,282,3,2,1
AFF,100,3,2,1
CM,749,3,2,1
DM,2078,3,2,1
ENDO,92,3,2,1
END,1729,3,2,1
HSTK,369,3,2,1
IHD,9113,3,2,1
ISTK,292,3,2,1
OSTK,481,3,2,1
TSTK,1487,3,2,1
OTH,603,3,2,1
PVD,56,3,2,1
RHD,49,3,2,1
AA,108,3,2,2
AFF,28,3,2,2
CM,394,3,2,2
DM,837,3,2,2
ENDO,16,3,2,2
END,870,3,2,2
HSTK,166,3,2,2
IHD,2316,3,2,2
ISTK,130,3,2,2
OSTK,259,3,2,2
TSTK,766,3,2,2
OTH,250,3,2,2
PVD,25,3,2,2
RHD,17,3,2,2
AA,60,3,2,3
AFF,12,3,2,3
CM,116,3,2,3
DM,519,3,2,3
ENDO,15,3,2,3
END,303,3,2,3
HSTK,167,3,2,3
IHD,1387,3,2,3
ISTK,77,3,2,3
OSTK,95,3,2,3
TSTK,501,3,2,3
OTH,113,3,2,3
PVD,13,3,2,3
RHD,7,3,2,3
AA,23,3,2,4
AFF,8,3,2,4
CM,63,3,2,4
DM,170,3,2,4
ENDO,5,3,2,4
END,101,3,2,4
HSTK,52,3,2,4
IHD,623,3,2,4
ISTK,25,3,2,4
