Notes	Ten-Year Age Groups	Ten-Year Age Groups Code	Race	Race Code	Gender	Gender Code	Hispanic Origin	Hispanic Origin Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	25-34 years	25-34	Black or African American	2054-5	Female	F	Not Hispanic or Latino	2186-2	Suppressed	3360161	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	25-34 years	25-34	Black or African American	2054-5	Male	M	Not Hispanic or Latino	2186-2	Suppressed	3297930	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	25-34 years	25-34	White	2106-3	Female	F	Not Hispanic or Latino	2186-2	67	12626506	0.5	0.4	0.7	0.1	4.70%
	25-34 years	25-34	White	2106-3	Male	M	Not Hispanic or Latino	2186-2	59	13030959	0.5	0.3	0.6	0.1	4.10%
	35-44 years	35-44	Black or African American	2054-5	Female	F	Not Hispanic or Latino	2186-2	10	2849171	Unreliable	0.2	0.6	0.1	0.70%
	35-44 years	35-44	Black or African American	2054-5	Male	M	Not Hispanic or Latino	2186-2	13	2565382	Unreliable	0.3	0.9	0.1	0.90%
	35-44 years	35-44	White	2106-3	Female	F	Not Hispanic or Latino	2186-2	50	11786558	0.4	0.3	0.6	0.1	3.50%
	35-44 years	35-44	White	2106-3	Male	M	Not Hispanic or Latino	2186-2	66	11922768	0.6	0.4	0.7	0.1	4.60%
	45-54 years	45-54	Black or African American	2054-5	Female	F	Not Hispanic or Latino	2186-2	12	2811658	Unreliable	0.2	0.7	0.1	0.80%
	45-54 years	45-54	Black or African American	2054-5	Male	M	Not Hispanic or Latino	2186-2	16	2475578	Unreliable	0.4	1	0.2	1.10%
	45-54 years	45-54	White	2106-3	Female	F	Not Hispanic or Latino	2186-2	44	13153739	0.3	0.2	0.4	0.1	3.10%
	45-54 years	45-54	White	2106-3	Male	M	Not Hispanic or Latino	2186-2	92	13079246	0.7	0.6	0.9	0.1	6.40%
