"Notes"	"Gender"	"Gender Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	232	6333683	3.66	3.19	4.13	0.24
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	10	6333683	Unreliable	0.08	0.29	0.05
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Hypertensive heart disease (I11)"	"GR113-056"	118	6333683	1.86	1.53	2.20	0.17
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	10	6333683	Unreliable	0.08	0.29	0.05
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	161	6333683	2.54	2.15	2.93	0.20
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	56	6333683	0.88	0.67	1.15	0.12
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	7	6333683	Unreliable	0.04	0.23	0.04
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	98	6333683	1.55	1.26	1.89	0.16
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Acute and subacute endocarditis (I33)"	"GR113-065"	4	6333683	Unreliable	0.02	0.16	0.03
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	10	6333683	Unreliable	0.08	0.29	0.05
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Heart failure (I50)"	"GR113-067"	49	6333683	0.77	0.57	1.02	0.11
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	404	6333683	6.38	5.76	7.00	0.32
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	44	6333683	0.69	0.50	0.93	0.10
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	130	6333683	2.05	1.70	2.41	0.18
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"#Atherosclerosis (I70)"	"GR113-071"	1	6333683	Unreliable	0.00	0.09	0.02
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	18	6333683	Unreliable	0.17	0.45	0.07
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	9	6333683	Unreliable	0.06	0.27	0.05
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"25-34 years"	"25-34"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	49	6333683	0.77	0.57	1.02	0.11
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	482	5597957	8.61	7.84	9.38	0.39
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	13	5597957	Unreliable	0.12	0.40	0.06
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Hypertensive heart disease (I11)"	"GR113-056"	447	5597957	7.99	7.24	8.73	0.38
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	30	5597957	0.54	0.36	0.77	0.10
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	608	5597957	10.86	10.00	11.72	0.44
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	243	5597957	4.34	3.80	4.89	0.28
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	13	5597957	Unreliable	0.12	0.40	0.06
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	352	5597957	6.29	5.63	6.94	0.34
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Acute and subacute endocarditis (I33)"	"GR113-065"	10	5597957	Unreliable	0.09	0.33	0.06
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	9	5597957	Unreliable	0.07	0.31	0.05
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Heart failure (I50)"	"GR113-067"	113	5597957	2.02	1.65	2.39	0.19
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	805	5597957	14.38	13.39	15.37	0.51
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	142	5597957	2.54	2.12	2.95	0.21
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	446	5597957	7.97	7.23	8.71	0.38
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"#Atherosclerosis (I70)"	"GR113-071"	6	5597957	Unreliable	0.04	0.23	0.04
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	41	5597957	0.73	0.53	0.99	0.11
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	32	5597957	0.57	0.39	0.81	0.10
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"35-44 years"	"35-44"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	103	5597957	1.84	1.48	2.20	0.18
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1255	5718654	21.95	20.73	23.16	0.62
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	54	5718654	0.94	0.71	1.23	0.13
	"Female"	"F"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"45-54 years"	"45-54"	"Hypertensive heart disease (I11)"	"GR113-056"	1098	5718654	19.20	18.06	20.34	0.58
