subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
1,Mortality,All Malignanat Cancers,2015,Female,Age_2044,Non-hispanic White,4850,30523184,15.88956119,0.503233833
2,Mortality,All Malignanat Cancers,2015,Female,Age_2044,Non-hispanic Black,1647,7676770,21.45433561,1.225925163
3,Mortality,All Malignanat Cancers,2015,Female,Age_2044,Hispanic,1427,10518884,13.56607792,1.097699294
4,Mortality,All Malignanat Cancers,2015,Female,Age_2044,Other,547,4433343,12.33831896,1.777237849
5,Mortality,All Malignanat Cancers,2015,Male,Age_2044,Non-hispanic White,4291,31292111,13.71272139,0.459709394
6,Mortality,All Malignanat Cancers,2015,Male,Age_2044,Non-hispanic Black,1053,7275243,14.47374335,1.036949758
7,Mortality,All Malignanat Cancers,2015,Male,Age_2044,Hispanic,1200,11306346,10.61350856,0.95726126
8,Mortality,All Malignanat Cancers,2015,Male,Age_2044,Other,444,4155228,10.68533423,1.803312591
9,Mortality,All Malignanat Cancers,2015,Female,Age_4554,Non-hispanic White,14762,14238423,103.677212,1.170442783
10,Mortality,All Malignanat Cancers,2015,Female,Age_4554,Non-hispanic Black,3771,2860342,131.8373817,2.99512922
11,Mortality,All Malignanat Cancers,2015,Female,Age_4554,Hispanic,2198,3213000,68.40958606,2.832366952
12,Mortality,All Malignanat Cancers,2015,Female,Age_4554,Other,1093,1529112,71.47939458,4.575444996
13,Mortality,All Malignanat Cancers,2015,Male,Age_4554,Non-hispanic White,14804,14096551,105.0185964,1.228805009
14,Mortality,All Malignanat Cancers,2015,Male,Age_4554,Non-hispanic Black,3266,2528856,129.149307,3.169323309
15,Mortality,All Malignanat Cancers,2015,Male,Age_4554,Hispanic,2088,3272152,63.81121659,2.854045528
16,Mortality,All Malignanat Cancers,2015,Male,Age_4554,Other,930,1352454,68.76389142,5.032903374
17,Mortality,All Malignanat Cancers,2015,Female,Age_5564,Non-hispanic White,37865,15111568,250.5696298,1.802730636
18,Mortality,All Malignanat Cancers,2015,Female,Age_5564,Non-hispanic Black,8324,2546832,326.83742,5.12912524
19,Mortality,All Malignanat Cancers,2015,Female,Age_5564,Hispanic,3572,2198328,162.4871266,5.439892174
20,Mortality,All Malignanat Cancers,2015,Female,Age_5564,Other,2019,1272047,158.7205504,7.614481291
21,Mortality,All Malignanat Cancers,2015,Male,Age_5564,Non-hispanic White,47829,14415002,331.8001621,2.20403374
22,Mortality,All Malignanat Cancers,2015,Male,Age_5564,Non-hispanic Black,9646,2137700,451.2326332,6.613875667
23,Mortality,All Malignanat Cancers,2015,Male,Age_5564,Hispanic,4336,2058899,210.5979944,6.196726456
24,Mortality,All Malignanat Cancers,2015,Male,Age_5564,Other,2114,1066033,198.3053057,9.433452043
25,Mortality,All Malignanat Cancers,2015,Female,Age_over65,Non-hispanic White,161624,20639658,783.0749909,4.57400391
26,Mortality,All Malignanat Cancers,2015,Female,Age_over65,Non-hispanic Black,19864,2552333,778.2683529,13.12687955
27,Mortality,All Malignanat Cancers,2015,Female,Age_over65,Hispanic,10574,2132451,495.8613351,16.7348558
28,Mortality,All Malignanat Cancers,2015,Female,Age_over65,Other,6327,1339138,472.4681101,21.94540916
29,Mortality,All Malignanat Cancers,2015,Male,Age_over65,Non-hispanic White,180159,16705087,1078.467894,6.30832329
30,Mortality,All Malignanat Cancers,2015,Male,Age_over65,Non-hispanic Black,20673,1714280,1205.92902,20.90467398
31,Mortality,All Malignanat Cancers,2015,Male,Age_over65,Hispanic,11973,1619259,739.4122867,24.03649664
