subgroup,outcome,risk_factor,RR_unit,RR,CI_lower,CI_upper,conversion_factor,RR_converted,SE_converted,RR_unit_converted
1,CC,gr_whole,3 servings/d,0.83,0.78,0.89,NA,NA,NA,NA
1,CC,dairy,400g/d,0.87,0.83,0.9,225,-0.2475770085929025,0.036720663280574696,1 cup/day
1,CC,pf_pm,50g/d,1.16,1.08,1.26,30.21,0.24564714518085604,0.06508466239185322,1 oz eq/day
1,CC,pf_redm,100g/d,1.12,1,1.25,30.21,0.3751363300463531,0.1884289153765561,1 oz eq/day
1,CC,fiber,10g/d,0.9,0.86,0.94,1,-0.10536051565782628,0.02269068520828983,10 g/day
1,DIAB,gr_whole,50g/d,0.83,0.76,0.9,NA,NA,NA,NA
1,DIAB,pf_ns,1oz/wk,0.95,0.92,0.98,NA,NA,NA,NA
1,DIAB,pf_pm,50g/d,1.86,1.38,2.46,30.21,1.0271044153014068,0.2440728889166811,1 oz eq/day
1,DIAB,pf_redm,100g/d,1.3,1.05,1.6,30.21,0.8684682703326417,0.35568492075564884,1 oz eq/day
1,HSTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
1,HSTK,veg_exc_sta,100g/d,0.76,0.61,0.95,NA,NA,NA,NA
1,HSTK,fruit,100g/d,0.63,0.49,0.81,149.37,-0.30932279547202163,0.08584163291296443,1 cup/day
1,IHD,gr_whole,50g/d,0.95,0.91,0.99,NA,NA,NA,NA
1,IHD,veg_exc_sta,100g/d,0.93,0.89,0.97,NA,NA,NA,NA
1,IHD,fruit,100g/d,0.92,0.87,0.97,149.37,-0.055822192501205736,0.01858193184312874,1 cup/day
1,IHD,pf_pm,50g/d,1.62,1.17,2.18,30.21,0.7984544012649665,0.2627530450077911,1 oz eq/day
1,IHD,pufa_rep_carb,5%E/d,0.86,0.79,0.92,1,-0.15082288973458366,0.03886242974031092,5%E/day
1,IHD,pufa_rep_sfa,5%E/d,0.87,0.81,0.93,1,-0.13926206733350766,0.03524243328592274,5%E/day
1,IHD,sea_omega3_fa,100mg/d,0.79,0.7,0.88,1,-0.23572233352106983,0.05837795215021622,100 mg/day
1,ISTK,gr_whole,50g/d,0.88,0.8,0.96,NA,NA,NA,NA
1,ISTK,veg_exc_sta,100g/d,0.76,0.64,0.9,NA,NA,NA,NA
1,ISTK,fruit,100g/d,0.83,0.76,0.9,149.37,-0.12474364209111165,0.02887575607413962,1 cup/day
1,Larynx,veg_exc_sta,100 g/d,0.91,0.87,0.96,NA,NA,NA,NA
1,Larynx,fruit,100 g/d,0.95,0.91,1,149.37,-0.034339756569291405,0.016106880099007893,1 cup/day
1,LC,veg_exc_sta,100/d,0.92,0.87,0.97,NA,NA,NA,NA
1,LC,fruit,100 g/d,0.82,0.76,0.89,149.37,-0.13285863207058868,0.026967520293704444,1 cup/day
