"","X","riskfactor","outcome","midage","logRR.perchange","se.perchange","logRR.perchange.exp","se.perchange.exp","event.age","origlogRR"
"1",1,"fruit","HSTK",30,-0.46634830110801,0.131250128214607,0.632710283934805,0.0833232104261388,61.5,-0.314710745
"2",2,"fruit","HSTK",40,-0.447276980338974,0.125882652252518,0.644448312216831,0.081379591793441,61.5,-0.314710745
"3",3,"fruit","HSTK",50,-0.379438875296577,0.106790141432825,0.688154767241953,0.0736633002455128,61.5,-0.314710745
"4",4,"fruit","HSTK",60,-0.314412414007852,0.0884889460361448,0.733080021227357,0.0649831285596715,61.5,-0.314710745
"5",5,"fruit","HSTK",70,-0.260788701250978,0.0733969661619586,0.772520059267279,0.0567743615723747,61.5,-0.314710745
"6",6,"fruit","HSTK",87.5,-0.149732669987616,0.0360329969483038,0.860938100257187,0.0310221799392457,61.5,-0.314710745
"7",1,"fruit","IHD",30,-0.0879352319673539,0.0271528551212192,0.916157481571964,0.0248770262702706,60.2,-0.058117796
"8",2,"fruit","IHD",40,-0.0843391193370205,0.0260424387037441,0.919430894535882,0.0239446869207489,60.2,-0.058117796
"9",3,"fruit","IHD",50,-0.0715474795069716,0.0220926049988978,0.931179044336781,0.0205719536371777,60.2,-0.058117796
"10",4,"fruit","IHD",60,-0.0592860068183087,0.01830647759536,0.94259494737602,0.0172550721425107,60.2,-0.058117796
"11",5,"fruit","IHD",70,-0.0491746509732825,0.0151842685080966,0.952124482959946,0.0144567394299936,60.2,-0.058117796
"12",6,"fruit","IHD",87.5,-0.02832356713688,0.00753125788563057,0.972073784778412,0.00732093835702717,60.2,-0.058117796
"13",1,"fruit","ISTK",30,-0.190831373711564,0.0426844669625658,0.827023915489944,0.0352941223728548,59.1,-0.127833372
"14",2,"fruit","ISTK",40,-0.183027321821159,0.0409388850458646,0.833442568473616,0.0341132800130758,59.1,-0.127833372
"15",3,"fruit","ISTK",50,-0.155267729378189,0.0347297204652166,0.856701740030611,0.0297466114716662,59.1,-0.127833372
"16",4,"fruit","ISTK",60,-0.128658671500533,0.0287779032676918,0.879637744154624,0.0253087561794293,59.1,-0.127833372
"17",5,"fruit","ISTK",70,-0.106715658639555,0.0238697700330629,0.899036969693136,0.0214555275712904,59.1,-0.127833372
"18",6,"fruit","ISTK",87.5,-0.061073688696324,0.0119107936777688,0.940753914292283,0.0112051257746888,59.1,-0.127833372
"19",1,"nuts","DIAB",30,-0.0508618702799175,0.0142568247272033,0.950506395259679,0.0135427993049028,59.5,-0.034815517
"20",2,"nuts","DIAB",40,-0.0487818733318922,0.0136737916661319,0.952477760730734,0.0130162103296182,59.5,-0.034815517
