"subgroup","outcome","outcome_label","risk_factor","RR","RR_unit","CI_lower","CI_upper","logRR","logCI_lower","logCI_upper"
1,"APCA","Fill in later","added_sugar",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","dairy",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","fruit",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","gr_refined",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","gr_whole",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","oil",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_egg",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_leg",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_ns",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_pm",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_poultry",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_redm",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_seafood",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","pf_soy",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","sat_fat",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_dg",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_leg",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_oth",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_ro",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_sta",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","veg_exc_sta",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","fruit_exc_juice",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","ssb",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","sea_omega3_fa",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","sodium",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
1,"APCA","Fill in later","fiber",0.83,"100g/d",0.78,0.89,-0.1863296,-0.2484614,-0.1165338
