RF,sex,agemid,IHD,IHDse,ISTK,ISTKse,HHD,HHDse,DIABMED,DIABMEDse,DIABDIR,DIABDIRse,,,,,,,,,,,,,,,gender
BMI,2,30,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,F
BMI,2,40,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,F
BMI,2,50,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,F
BMI,2,60,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,F
BMI,2,70,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,F
BMI,2,80,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,F
BMI,2,92.5,0.134751845,0.049328754,0.039151427,0.03872812,0.372451299,0.16533731,0.324230455,0.060700638,0.38481466,0.096409695,,,,,,,,,,,,,,,F
BMI,1,30,0.581972067,0.070717916,0.735755462,0.072075515,0.831947815,0.633450835,1.267573227,0.19712465,1.70675974,0.42760373,,,,,,,,,,,,,,,M
BMI,1,40,0.509065457,0.050498044,0.622782592,0.056571237,0.765841632,0.504629194,1.122468055,0.153155612,1.636961775,0.41011687,,,,,,,,,,,,,,,M
BMI,1,50,0.435251699,0.029984693,0.510919995,0.042134387,0.701023982,0.375755482,0.978956652,0.109023593,1.388685225,0.347914805,,,,,,,,,,,,,,,M
BMI,1,60,0.364228123,0.014872944,0.404119048,0.033412947,0.639509844,0.246650456,0.840282087,0.064146451,1.15069884,0.28829079,,,,,,,,,,,,,,,M
BMI,1,70,0.301172906,0.011534145,0.298378304,0.024861825,0.592089978,0.113925868,0.705762392,0.019766248,0.95444468,0.23912218,,,,,,,,,,,,,,,M
BMI,1,80,0.227310022,0.024834873,0.189255432,0.020600492,0.48768535,0.033207614,0.529278367,0.026075957,0.729985895,0.182887305,,,,,,,,,,,,,,,M
BMI,1,92.5,0.134751845,0.049328754,0.039151427,0.03872812,0.372451299,0.16533731,0.324230455,0.060700638,0.38481466,0.096409695,,,,,,,,,,,,,,,M
