subgroup,food,food_type,mixed_dish,costperDGA,costper100g
0,added_sugar,Grocery,Non-Mixed,0.029720659092624453,0.7076347403005822
0,added_sugar,Non-Grocery,Non-Mixed,0.0667085284281755,1.5882982959089402
0,added_sugar,Total,Non-Mixed,0.04097984079445765,0.9757104951061344
0,dairy_tot,Grocery,Non-Mixed,0.443401473463493,0.2975848815191228
0,dairy_tot,Non-Grocery,Non-Mixed,0,0
0,dairy_tot,Total,Non-Mixed,0.36277195298962356,0.2434711093890091
0,fruit_exc_juice,Grocery,Mixed,0.5638349897705632,0.37094407221747583
0,fruit_exc_juice,Grocery,Non-Mixed,0.6534640190739144,0.4299105388644173
0,fruit_exc_juice,Non-Grocery,Mixed,0.6614904254631718,0.4351910693836657
0,fruit_exc_juice,Non-Grocery,Non-Mixed,0.8121587064527311,0.5343149384557442
0,fruit_exc_juice,Total,Mixed,0.574912605621939,0.37823197738285463
0,fruit_exc_juice,Total,Non-Mixed,0.6751033345402973,0.4441469306186166
0,fruit_juice,Grocery,Mixed,0.5852408084347303,0.23316366869909574
0,fruit_juice,Grocery,Non-Mixed,0.5159789050289184,0.20556928487207907
0,fruit_juice,Non-Grocery,Mixed,0.5072267826581314,0.20208238352913602
0,fruit_juice,Non-Grocery,Non-Mixed,0.45389236795989824,0.1808336127330272
0,fruit_juice,Total,Mixed,0.5844574225741627,0.2328515627785509
0,fruit_juice,Total,Non-Mixed,0.5041965889803017,0.20087513505191307
0,gr_refined,Grocery,Mixed,0.18104685189548905,0.502907921931914
0,gr_refined,Grocery,Non-Mixed,0.20984311342952167,0.5828975373042269
0,gr_refined,Non-Grocery,Mixed,0.5797250349710584,1.6103473193640514
0,gr_refined,Non-Grocery,Non-Mixed,0.5295534254895601,1.4709817374710004
0,gr_refined,Total,Mixed,0.3567442825984099,0.9909563405511387
0,gr_refined,Total,Non-Mixed,0.3006583484923478,0.8351620791454106
0,gr_whole,Grocery,Mixed,0.18902548257534896,0.3706382011281352
0,gr_whole,Grocery,Non-Mixed,0.23529196852149759,0.4613568010225443
0,gr_whole,Non-Grocery,Mixed,0.7321344296659742,1.4355577052274004
0,gr_whole,Non-Grocery,Non-Mixed,0.5646117093859555,1.1070817831097166
0,gr_whole,Total,Mixed,0.27512294227514306,0.539456749559104
0,gr_whole,Total,Non-Mixed,0.27129048056688915,0.5319421187586062
0,leg_tot,Grocery,Mixed,0.2197505780695734,0.5939204812691173
0,leg_tot,Grocery,Non-Mixed,0.16586610292357792,0.4482867646583187
0,leg_tot,Non-Grocery,Mixed,0.413743459380044,1.1182255658920108
0,leg_tot,Non-Grocery,Non-Mixed,0.24982933551495434,0.6752144203106875
0,leg_tot,Total,Mixed,0.25403372151644094,0.6865776257201106
0,leg_tot,Total,Non-Mixed,0.19027084121196114,0.5142455167890841
0,oil,Grocery,Non-Mixed,0.010353189800809298,1.0353189800809297
