food_group,unitprice,unitprice_se
added_sugar,0.03375393807772156,0.0029726076114569306
dairy,0.3123222035481392,0.02675373968177729
gr_refined,0.12401790512665788,0.007900940401548543
gr_whole,0.1565306473174301,0.018016517480791302
oil,0.012928531658178396,0.0015739706696421718
pf_egg,0.1679445611810398,0.02998563392220673
pf_ns,0.11320823445634687,0.016544110724650948
pf_pm,0.33268515427243256,0.016773618430970874
pf_poultry,0.26410371154992107,0.013157087700459648
pf_redm,0.46748740962618435,0.015327090674168816
pf_seafood,0.5292001164538934,0.0221399065025607
veg_dg,0.7054640514403238,0.07880857794950406
veg_oth,0.5658405529667103,0.05403374862166603
veg_ro,0.6330875450388641,0.07556905636645248
veg_sta,0.3328187110264471,0.04703477320313632
leg_tot,0.14583884764470073,0.026138199884853053
fruit_exc_juice,0.4956041470332604,0.034640033017627296
fruit_juice,0.29474468038006274,0.06902191168127757
solid_fats,0.01700945906139215,0.0014923443789964894
