Foodgroup,foodcode_prefix
dairy_tot,1
pf_egg,3
pf_redm,20
pf_redm,21
pf_redm,22
pf_redm,23
pf_poultry,24
pf_pm,25
pf_seafood,26
leg_tot,41
pf_ns,42
pf_ns,43
pf_ns,44
other,59
fruit_exc_juice,62
fruit_exc_juice,63
fruit_juice,64
babyfood,67
veg_sta,71
veg_dg,72
veg_ro,73
veg_ro,74
veg_oth,75
babyfood,76
veg_oth,77
sat_fat,81
oil,82
other,83
added_sugar,91
ssb,92
other,93
water,94
other,95
fruit_exc_juice,611
fruit_juice,612
pf_redm,2711
pf_redm,2712
pf_redm,2713
pf_poultry,2714
pf_seafood,2715
pf_redm,2716
pf_redm,2721
pf_redm,2722
pf_redm,2723
pf_poultry,2724
pf_seafood,2725
pf_redm,2726
pf_redm,2731
pf_redm,2732
pf_redm,2733
pf_poultry,2734
pf_seafood,2735
pf_redm,2736
pf_redm,2741
pf_redm,2742
pf_redm,2743
pf_poultry,2744
pf_seafood,2745
pf_redm,2746
pf_redm,2750
pf_redm,2751
pf_redm,2752
pf_poultry,2754
pf_seafood,2755
pf_redm,2756
pf_redm,2810
pf_redm,2811
pf_poultry,2814
pf_seafood,2815
pf_redm,2816
pf_redm,2831
pf_redm,2832
pf_poultry,2834
pf_seafood,2835
fruit_exc_juice,781011
pf_redm,20000000
pf_poultry,28500000
pf_redm,28500010
pf_redm,28500040
pf_poultry,28500050
pf_redm,28500070
pf_poultry,28500080
other,28500100
pf_redm,28501010
pf_poultry,28501110
pf_poultry,28510010
pf_redm,28520000
other,28520000
pf_redm,28520010
pf_seafood,28520100
other,28522000
other,28522050
fruit_juice,78101000
pf_redm,89901000
pf_redm,89901002
pf_redm,89901004
pf_poultry,89901006
dairy_tot,89901010
dairy_tot,89901020
other,89901030
other,89901040
veg_ro,89901050
fruit_exc_juice,89902000
veg_oth,89902010
veg_oth,89902020
veg_oth,89902030
veg_oth,89902040
veg_oth,89902050
veg_dg,89902060
veg_ro,89902070
pf_redm,89902100
babyfood,276
