,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
27,41102020,"Black, brown, or Bayo beans, dry, cooked, fat not added in cooking",Black beans,"Beans, black, cooked, boiled, without salt",veg,bean,black,0.083333333,0.069245232,5.15E-10,-5.49E-08,3.39E-10,4.91E-06,0.000732181,1.91E-09,3.68E-05,0.00014345,0.000583629,1.60E-05,0.000318665,-0.001833922,1.29523632,0.000118682,1.82E-07,0.57,1.754385965
81,41302020,"Chickpeas, dry, cooked, fat not added in cooking",Chickpeas,"Chickpeas, cooked, boiled, without salt",veg,bean,chickpea,0.05,0.101806978,7.57E-10,-8.07E-08,4.98E-10,7.22E-06,0.00107648,2.80E-09,5.41E-05,0.000210905,0.000858073,2.35E-05,0.000468514,-0.002696301,1.90430578,0.000174491,2.67E-07,0.57,1.754385965
125,41303000,"Green or yellow split peas, dry, cooked, fat not added in cooking",Split Peas,"Peas, split, cooked, boiled, without salt",veg,bean,bean_o,0.016666667,0.069657406,5.18E-10,-5.52E-08,3.41E-10,4.94E-06,0.000736539,1.92E-09,3.70E-05,0.000144304,0.000587103,1.61E-05,0.000320562,-0.001844838,1.30294606,0.000119389,1.83E-07,0.57,1.754385965
141,41305000,"Lentils, dry, cooked, fat not added in cooking",Lentils,"Lentils, cooked, boiled, without salt",veg,bean,lentil,0.066666667,0.069657406,5.18E-10,-5.52E-08,3.41E-10,4.94E-06,0.000736539,1.92E-09,3.70E-05,0.000144304,0.000587103,1.61E-05,0.000320562,-0.001844838,1.30294606,0.000119389,1.83E-07,0.57,1.754385965
144,41103020,"Lima beans, dry, cooked, fat not added in cooking",Lima beans (mature) (Incl. fava and mung beans),"Lima beans, large, cooked, boiled, without salt",veg,bean,bean_o,0.016666667,0.069657406,5.18E-10,-5.52E-08,3.41E-10,4.94E-06,0.000736539,1.92E-09,3.70E-05,0.000144304,0.000587103,1.61E-05,0.000320562,-0.001844838,1.30294606,0.000119389,1.83E-07,0.57,1.754385965
225,41104020,"Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking",Pinto beans (Incl. pink beans),"Beans, pinto, cooked, boiled, without salt",veg,bean,pinto,0.383333333,0.068214797,5.07E-10,-5.41E-08,3.34E-10,4.84E-06,0.000721285,1.88E-09,3.63E-05,0.000141315,0.000574944,1.58E-05,0.000313923,-0.001806631,1.27596197,0.000116916,1.79E-07,0.57,1.754385965
244,41106020,"Red kidney beans, dry, cooked, fat not added in cooking",Kidney Beans,"Beans, kidney, cooked, boiled, without salt",veg,bean,kidney,0.133333333,0.075840016,5.64E-10,-6.02E-08,3.71E-10,5.38E-06,0.000801912,2.09E-09,4.03E-05,0.000157112,0.000639212,1.75E-05,0.000349015,-0.002008581,1.41859216,0.000129985,1.99E-07,0.57,1.754385965
300,41101120,"White beans, dry, cooked, fat not added in cooking",White beans (Incl. navy and pea beans),"Beans, small white, cooked, boiled, without salt",veg,bean,white,0.25,0.085938279,6.39E-10,-6.82E-08,4.21E-10,6.09E-06,0.000908689,2.37E-09,4.57E-05,0.000178031,0.000724325,1.99E-05,0.000395487,-0.002276028,1.60748079,0.000147293,2.26E-07,0.57,1.754385965
56,14204010,"Cheese, cottage, lowfat (1-2% fat)","Cottage cheeses, lowfat and fat NFS","Cheese, cottage, lowfat, (1% milkfat) no sodium added",dairy,dairy,dairy,0.001003009,0.70751,1.78E-08,1.70E-07,1.87E-08,0.000242478,0.0464845,1.33E-07,0.00137949,0.00606993,0.0253641,0.000111817,0.0021636,2.32235,7.48653,0.0143723,1.83E-05,0.2,5
57,14204010,"Cheese, cottage, lowfat (1-2% fat)","Cottage cheeses, regular","Cheese, cottage, lowfat, (1% milkfat) no sodium added",dairy,dairy,dairy,0.001003009,0.70751,1.78E-08,1.70E-07,1.87E-08,0.000242478,0.0464845,1.33E-07,0.00137949,0.00606993,0.0253641,0.000111817,0.0021636,2.32235,7.48653,0.0143723,1.83E-05,0.2,5
