subgroup,2010_pop,2020_pop,2018_pop
1,4445935.747,4772869.646,4711211.05
2,3828444.671,4109971.084,4056876.182
3,3056580.826,3281347.882,3238957.597
4,3674071.902,3944246.444,3893292.465
5,4415061.193,4739724.718,4678494.306
6,2871333.503,3082478.313,3042657.136
7,3087455.38,3314492.81,3271674.34
8,3457950.026,3712231.947,3664275.261
9,4476810.301,4806014.575,4743927.793
10,3427075.472,3679087.019,3631558.517
11,4260688.424,4574000.078,4514910.589
12,3056580.826,3281347.882,3238957.597
13,3612322.795,3877956.588,3827858.978
14,2747835.288,2949898.601,2911790.163
15,3087455.38,3314492.81,3271674.34
16,2840458.95,3049333.385,3009940.393
17,4075441.102,4375130.509,2551905.985
18,3334451.81,3579652.235,2061154.834
19,3457950.026,3712231.947,1897571.117
20,3396200.918,3645942.091,2192021.808
21,3859319.225,4143116.013,2682772.959
22,3210953.595,3447072.522,1995721.347
23,2963957.165,3181913.098,1635837.17
24,3550573.687,3811666.732,2159305.064
25,5248674.146,5634637.777,5561846.378
26,5372172.361,5767217.489,5692713.352
27,4939928.608,5303188.496,5234678.944
28,4075441.102,4375130.509,4318610.129
29,5742667.007,6164956.627,6085314.272
30,4723806.731,5071173.999,5005661.74
31,4569433.962,4905449.359,4842078.023
32,3334451.81,3579652.235,3533408.287
33,4939928.608,5303188.496,5234678.944
34,3087455.38,3314492.81,3271674.34
35,3056580.826,3281347.882,3238957.597
36,2037720.551,2187565.255,2159305.064
37,5804416.114,6231246.483,6150747.759
38,3581448.241,3844811.66,3795142.234
39,2747835.288,2949898.601,2911790.163
40,2068595.105,2220710.183,2192021.808
41,6792401.836,7291884.182,7197683.548
42,2253842.427,2419579.751,2388322.268
43,1204107.598,1292652.196,1275952.993
44,1296731.26,1392086.98,1374103.223
45,7162896.482,7689623.319,7590284.469
46,1914222.336,2054985.542,2028438.091
47,987985.7216,1060637.699,1046935.789
48,1080609.383,1160072.484,1145086.019
