FCID_Code,FCID_Desc,Foodgroup,FL_Score,Weight_Conversion,FL_Score_Value,FL_Score_Value_NOFEED,FL_Score_Value_grams,FL_Score_Value_NOFEED_grams,FCID_Code_chr
2303000500,Acai berry,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1.506,478.25,478.25,4.7825e-4,4.7825e-4,2303000500
2301001000,Acerola,fruit_exc_juice,Berries nes,1.04,215,215,2.15e-4,2.15e-4,2301001000
2201001500,Agave,added_sugar,Maple sugar and syrups,1,110,110,1.1e-4,1.1e-4,2201001500
1800002000,"Alfalfa, seed",leg_tot,"Peas, dry",1,24,24,2.4e-5,2.4e-5,1800002000
1400003000,Almond,pf_ns,Almonds shelled,1,1041,1041,0.001041,0.001041,1400003000
1400004000,"Almond, oil",oil,Almonds shelled,1,1041,1041,0.001041,0.001041,1400004000
9500006000,"Amaranth, grain",gr_whole,"AVERAGE(Rice, milled; Oats rolled; Fonio; Quinoa; Bulgur; Barley, pearled; Sorghum)",1,767.4285714285714,767.4285714285714,7.674285714285715e-4,7.674285714285715e-4,9500006000
401005000,"Amaranth, leafy",veg_dg,Spinach,1,111,111,1.11e-4,1.11e-4,401005000
1100009000,"Apple, dried",fruit_exc_juice,Apples,6.15,61,61,6.1e-5,6.1e-5,1100009000
1100007000,"Apple, fruit with peel",fruit_exc_juice,Apples,1.11,61,61,6.1e-5,6.1e-5,1100007000
1100010000,"Apple, juice",fruit_juice,"Juice, apple, single strength",1,359,359,3.59e-4,3.59e-4,1100010000
1100008000,"Apple, peeled fruit",fruit_exc_juice,Apples,1.3,61,61,6.1e-5,6.1e-5,1100008000
1100011000,"Apple, sauce",fruit_exc_juice,Apples,1.4,61,61,6.1e-5,6.1e-5,1100011000
1202012000,Apricot,fruit_exc_juice,Apricots,1.08,95,95,9.5e-5,9.5e-5,1202012000
1202013000,"Apricot, dried",fruit_exc_juice,"Apricots, dry",1,245,245,2.45e-4,2.45e-4,1202013000
1202014000,"Apricot, juice",fruit_juice,Apricots,1.63,95,95,9.5e-5,9.5e-5,1202014000
103015000,"Arrowroot, flour",veg_sta,"Flour, roots and tubers nes",1,9436,9436,0.009436,0.009436,103015000
