diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
DGAplus,Other,added_sugar,BLUEWATER (L),-6.17222537119178,-6.38199411149004,-5.96037479999899,-2252.8622604849998,-2329.4278506938645,-2175.5368019996313
Med,Other,added_sugar,BLUEWATER (L),-6.39732811034067,-6.58822508024336,-6.19320295069724,-2335.0247602743443,-2404.7021542888265,-2260.519077004493
US,Other,added_sugar,BLUEWATER (L),-6.40133340029455,-6.59440204260553,-6.19985132842975,-2336.4866911075105,-2406.9567455510187,-2262.9457348768588
Veg,Other,added_sugar,BLUEWATER (L),-6.16276750481851,-6.35794393405331,-5.97296507077161,-2249.4101392587563,-2320.649535929458,-2180.1322508316375
Vegan,Other,added_sugar,BLUEWATER (L),-6.1643583478853,-6.37845067695457,-5.96588156535263,-2249.9907969781348,-2328.134497088418,-2177.54677135371
DGAplus,Dairy,dairy_cow,BLUEWATER (L),37.2216579632612,36.7231823442377,37.7057029203897,13585.90515659034,13403.96155564676,13762.581565942239
Med,Dairy,dairy_cow,BLUEWATER (L),14.3794803197008,13.8215170215469,14.8888309609654,5248.510316690792,5044.8537128646185,5434.423300752371
US,Dairy,dairy_cow,BLUEWATER (L),37.209121458729,36.6943257599146,37.6850520761781,13581.329332436086,13393.428902368829,13755.044007805007
Veg,Dairy,dairy_cow,BLUEWATER (L),37.2038127430444,36.6884848347547,37.7166880740571,13579.391651211206,13391.296964685467,13766.591147030842
Vegan,Dairy,dairy_cow,BLUEWATER (L),-31.2776693520566,-31.8116754323111,-30.789331085722502,-11416.34931350066,-11611.261532793553,-11238.105846288714
DGAplus,Dairy,dairy_soy,BLUEWATER (L),-0.107356942879974,-0.129553167043442,-0.0853228740428379,-39.18528415119051,-47.28690597085633,-31.142849025635837
Med,Dairy,dairy_soy,BLUEWATER (L),-0.107058226177562,-0.129609205609301,-0.0839083727642175,-39.07625255481013,-47.307360047394866,-30.62655605893939
US,Dairy,dairy_soy,BLUEWATER (L),-0.106823592678615,-0.131544562303791,-0.0837875782270496,-38.99061132769448,-48.013765240883714,-30.582466052873105
Veg,Dairy,dairy_soy,BLUEWATER (L),-0.106873811247001,-0.131599460384384,-0.0834151643656622,-39.008941105155365,-48.03380304030016,-30.446534993466702
Vegan,Dairy,dairy_soy,BLUEWATER (L),7.07059116759968,7.04816195531262,7.0948472101338,2580.7657761738833,2572.579113689106,2589.6192316988368
DGAplus,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
Med,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
US,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
Veg,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
Vegan,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot_calculated,BLUEWATER (L),37.11430102038123,36.59362917719426,37.62038004634686,13546.719872439147,13356.674649675904,13731.438716916604
Med,Dairy,dairy_tot_calculated,BLUEWATER (L),14.272422093523238,13.691907815937599,14.804922588201183,5209.434064135982,4997.546352817224,5403.796744693432
US,Dairy,dairy_tot_calculated,BLUEWATER (L),37.102297866050385,36.5627811976108,37.60126449795105,13542.33872110839,13345.415137127944,13724.461541752133
Veg,Dairy,dairy_tot_calculated,BLUEWATER (L),37.0969389317974,36.55688537437032,37.63327290969144,13540.382710106052,13343.263161645165,13736.144612037377
Vegan,Dairy,dairy_tot_calculated,BLUEWATER (L),-24.20707818445692,-24.763513476998483,-23.694483875588702,-8835.583537326775,-9038.682419104447,-8648.486614589876
DGAplus,Fruit,fruit_exc_juice,BLUEWATER (L),77.6064304450401,76.3665768675903,78.7476232921297,28326.34711243964,27873.80055667046,28742.88250162734
Med,Fruit,fruit_exc_juice,BLUEWATER (L),72.8723175144369,71.6359070198889,74.0032064887004,26598.39589276947,26147.10606225945,27011.170368375646
US,Fruit,fruit_exc_juice,BLUEWATER (L),50.5002142272686,49.3033191918152,51.7252701286837,18432.57819295304,17995.711505012547,18879.72359696955
Veg,Fruit,fruit_exc_juice,BLUEWATER (L),50.5287654677474,49.2936821815953,51.6071693526386,18442.999395727802,17992.193996282283,18836.616813713088
Vegan,Fruit,fruit_exc_juice,BLUEWATER (L),50.4795666431188,49.2462697037328,51.6865994687931,18425.041824738364,17974.888441862473,18865.60880610948
DGAplus,Fruit,fruit_juice,BLUEWATER (L),-20.981734356406,-21.9681943996762,-20.0283792586478,-7658.3330400881905,-8018.390955881813,-7310.358429406447
Med,Fruit,fruit_juice,BLUEWATER (L),28.8001316568117,27.8088156698555,29.8377543178679,10512.048054736271,10150.217719497257,10890.780326021784
US,Fruit,fruit_juice,BLUEWATER (L),18.5455727492255,17.5062467892658,19.4598458843868,6769.134053467307,6389.780078082016,7102.843747801183
Veg,Fruit,fruit_juice,BLUEWATER (L),18.4920086939724,17.5473527272437,19.5188554375454,6749.583173299927,6404.783745443951,7124.382234704071
Vegan,Fruit,fruit_juice,BLUEWATER (L),18.5160339791979,17.4959242943008,19.5094139461193,6758.352402407233,6386.012367419792,7120.936090333544
DGAplus,Grains,gr_refined,BLUEWATER (L),-36.6824674858727,-37.4001785371197,-36.0212628513043,-13389.100632343536,-13651.065166048691,-13147.76094072607
Med,Grains,gr_refined,BLUEWATER (L),-30.1496409249448,-30.8914523093494,-29.40994378068,-11004.618937604853,-11275.380092912532,-10734.6294799482
US,Grains,gr_refined,BLUEWATER (L),-30.1310401114704,-30.8853642104004,-29.3934514244411,-10997.829640686696,-11273.157936796146,-10728.609769921002
Veg,Grains,gr_refined,BLUEWATER (L),-30.1406257720539,-30.8329367296532,-29.4065269514535,-11001.328406799674,-11254.021906323418,-10733.382337280527
Vegan,Grains,gr_refined,BLUEWATER (L),-30.1362153134506,-30.9150282994496,-29.4061835505834,-10999.71858940947,-11283.985329299103,-10733.256995962942
DGAplus,Grains,gr_whole,BLUEWATER (L),32.7291399763379,32.447715222299,33.0488681764003,11946.136091363333,11843.416056139136,12062.836884386108
Med,Grains,gr_whole,BLUEWATER (L),26.5036592516699,26.1903709909942,26.812379790647,9673.835626859514,9559.485411712883,9786.518623586155
US,Grains,gr_whole,BLUEWATER (L),26.5026779375166,26.2068389481443,26.8203949343682,9673.47744719356,9565.496216072668,9789.444151044392
Veg,Grains,gr_whole,BLUEWATER (L),32.7218308895107,32.4558552726772,33.0235200480767,11943.468274671404,11846.387174527177,12053.584817547995
Vegan,Grains,gr_whole,BLUEWATER (L),32.7295551938029,32.4434290709736,33.0417157702289,11946.287645738059,11841.851610905363,12060.226256133548
DGAplus,Protein,leg_tot,BLUEWATER (L),14.6721819841086,14.4546816791031,14.8727067953269,5355.346424199639,5275.958812872632,5428.537980294319
Med,Protein,leg_tot,BLUEWATER (L),4.59806650851874,4.38818044694695,4.81620916651189,1678.2942756093403,1601.6858631356367,1757.91634577684
US,Protein,leg_tot,BLUEWATER (L),4.59845500882393,4.38509514551306,4.81976584904835,1678.4360782207345,1600.5597281122668,1759.2145349026478
Veg,Protein,leg_tot,BLUEWATER (L),28.1325290175372,27.9279387067921,28.3482656389122,10268.373091401078,10193.697627979118,10347.116958202952
Vegan,Protein,leg_tot,BLUEWATER (L),31.4026280592041,31.1857429704046,31.6233394356875,11461.959241609497,11382.79618419768,11542.518894025938
DGAplus,Other,oil,BLUEWATER (L),-0.190524930225435,-0.300137929660803,-0.0826515510445336,-69.54159953228378,-109.5503443261931,-30.167816131254764
