note,subgroup,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_soy_adj,.,6075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
pf_soy_adj,Overall,15834,0.07,0.01,0.00,0.00,0.01,0.00,0.06,0.01,0.21,0.00,0.04,0.02,0.00,0.01,36
pf_soy_adj,1,381,0.13,0.02,0.01,0.00,0.04,0.01,0.12,0.02,0.27,,,0.05,,,36
pf_soy_adj,2,282,0.07,0.02,0.01,0.00,0.02,0.01,0.06,0.02,0.16,,,0.05,,,36
pf_soy_adj,3,337,0.14,0.02,0.01,0.00,0.04,0.01,0.13,0.02,0.32,,,0.06,,,36
pf_soy_adj,4,234,0.13,0.04,0.01,0.00,0.04,0.02,0.12,0.04,0.30,,,0.09,,,36
pf_soy_adj,5,354,0.15,0.03,0.02,0.00,0.05,0.01,0.15,0.03,0.33,,,0.05,,,36
pf_soy_adj,6,240,0.07,0.02,0.01,0.00,0.02,0.01,0.06,0.02,0.16,,,0.04,,,36
pf_soy_adj,7,290,0.13,0.05,0.01,0.00,0.04,0.02,0.13,0.05,0.29,,,0.11,,,36
pf_soy_adj,8,235,0.16,0.03,0.02,0.00,0.05,0.01,0.16,0.04,0.34,,,0.07,,,36
pf_soy_adj,9,237,0.11,0.03,0.01,0.00,0.03,0.01,0.11,0.03,0.25,,,0.05,,,36
pf_soy_adj,10,199,0.06,0.02,0.00,0.00,0.02,0.01,0.05,0.02,0.14,,,0.04,,,36
pf_soy_adj,11,252,0.13,0.05,0.01,0.01,0.04,0.02,0.13,0.05,0.30,,,0.10,,,36
pf_soy_adj,12,141,0.09,0.04,0.01,0.00,0.03,0.01,0.09,0.04,0.21,,,0.08,,,36
pf_soy_adj,13,215,0.11,0.04,0.01,0.00,0.03,0.02,0.10,0.04,0.24,,,0.08,,,36
pf_soy_adj,14,155,0.04,0.02,0.00,0.00,0.01,0.01,0.04,0.02,0.11,,,0.04,,,36
